GYEAR,G_ID,PIT_ID,PCODE,T_ID,INN,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM
2018,20180324HHWO0,180324_140436,62797,HH,1,131.5,42.7,14,149.59,5
2018,20180324HHWO0,180324_140514,76753,HH,1,135.18,9.9,1,148.78,5
2018,20180324HHWO0,180324_140647,71752,HH,1,152.41,2.1,1,148.59,5
2018,20180324HHWO0,180324_140911,62700,HH,1,113.72,13.5,1,139.13,5
2018,20180324HHWO0,180324_142050,68730,HH,2,54.11,16.4,7,134.07,5
2018,20180324HHWO0,180324_142310,78288,HH,2,161.9,3.5,1,145.75,5
2018,20180324HHWO0,180324_142817,78756,HH,2,105.03,0.9,5,146.0,5
2018,20180324HHWO0,180324_143122,74163,HH,2,115.52,26.6,14,122.82,5
2018,20180324HHWO0,180324_143925,64300,WO,2,154.95,0.8,1,140.14,5
2018,20180324HHWO0,180324_145047,79365,WO,2,127.35,61.1,14,149.84,5
2018,20180324HHWO0,180324_145431,62797,HH,3,63.08,-34.8,5,145.41,5
2018,20180324HHWO0,180324_145522,76753,HH,3,134.27,9.4,1,144.83,5
2018,20180324HHWO0,180324_145647,71752,HH,3,155.49,21.0,1,144.87,5
2018,20180324HHWO0,180324_145908,62700,HH,3,128.37,26.4,14,147.46,5
2018,20180324HHWO0,180324_150124,78168,WO,3,139.38,-5.1,5,131.69,5
2018,20180324HHWO0,180324_150409,76746,WO,3,165.04,20.3,15,140.05,5
2018,20180324HHWO0,180324_150604,75125,WO,3,142.52,11.6,1,148.67,5
2018,20180324HHWO0,180324_151831,61353,WO,4,116.31,17.6,1,130.88,5
2018,20180324HHWO0,180324_152334,67341,WO,4,151.98,18.4,2,132.66,5
2018,20180324HHWO0,180324_152722,79365,WO,4,133.26,15.3,1,149.3,5
2018,20180324HHWO0,180324_152952,78168,WO,4,131.28,15.1,1,134.37,5
2018,20180324HHWO0,180324_153838,75125,WO,4,155.11,-2.8,5,125.0,5
2018,20180324HHWO0,180324_154150,64300,WO,4,119.63,38.6,14,137.25,5
2018,20180324HHWO0,180324_154449,74163,HH,5,124.08,25.5,13,135.33,5
2018,20180324HHWO0,180324_154534,62797,HH,5,133.33,3.0,1,145.83,5
2018,20180324HHWO0,180324_155614,77564,WO,5,144.44,15.1,2,148.88,5
2018,20180324HHWO0,180324_160026,67341,WO,5,141.49,23.0,14,141.79,5
2018,20180324HHWO0,180324_160220,79365,WO,5,144.69,14.0,1,126.56,5
2018,20180324HHWO0,180324_161303,67394,WO,5,125.74,17.2,14,116.19,5
2018,20180324HHWO0,180324_162025,62700,HH,6,122.87,45.3,14,135.37,5
2018,20180324HHWO0,180324_162441,76746,WO,6,117.4,13.0,1,141.06,5
2018,20180324HHWO0,180324_162608,75125,WO,6,130.82,10.0,1,130.25,5
2018,20180324HHWO0,180324_162925,64300,WO,6,131.99,48.0,14,139.87,5
2018,20180324HHWO0,180324_163252,61353,WO,6,141.75,20.1,14,121.88,5
2018,20180324HHWO0,180324_163340,77564,WO,6,136.09,39.2,14,139.84,5
2018,20180324HHWO0,180324_163814,68730,HH,7,134.39,3.7,3,135.1,5
2018,20180324HHWO0,180324_164656,74163,HH,7,131.27,8.9,1,133.14,5
2018,20180324HHWO0,180324_165010,62797,HH,7,104.23,68.0,14,144.99,5
