PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
200729_194404,142.8,24.1,2
180719_212526,146.35,1.0,1
210429_184739,141.35,37.5,14
210624_194243,110.21,13.7,1
200820_211634,170.23,24.2,15
200714_183911,101.15,-18.6,5
190605_190335,150.43,-2.9,5
200628_180206,152.86,9.2,12
181013_192436,137.75,52.7,14
181009_142721,149.86,32.4,2
180710_201120,84.43,-29.9,4
180531_203102,135.55,22.4,14
180626_205736,152.56,20.0,2
180328_185028,130.72,11.6,1
190526_161303,142.36,2.9,1
180522_163710,161.99,9.6,3
190418_183753,155.92,-11.4,5
190808_204041,147.31,40.0,14
190714_190742,134.23,16.1,12
201017_192855,102.34,49.6,14
180923_151513,115.43,-1.2,5
180603_191641,142.6,10.2,1
180405_201315,144.64,39.8,14
180718_202538,134.12,4.1,5
200625_201131,133.13,64.2,14
210520_184938,149.07,-4.6,1
210615_184814,132.19,-8.3,5
181009_140108,141.09,-6.8,2
180914_203128,158.41,19.5,1
190925_183629,138.26,36.3,14
190526_163923,106.25,72.9,13
200829_195113,158.44,-0.4,1
190621_192005,128.03,38.2,14
181012_200331,132.59,-9.7,8
210429_200800,107.11,45.0,1
200726_170212,150.63,2.1,5
180615_193108,155.48,-4.4,5
180418_213020,159.1,6.8,1
210708_205155,152.93,8.9,2
180626_190419,104.65,-16.9,5
180619_191436,135.16,17.9,2
180412_200453,145.27,22.4,14
180517_220553,141.86,19.9,2
210512_191709,151.45,1.3,5
180608_194245,163.12,19.6,15
180519_174655,58.45,-32.3,5
210619_155706,131.06,34.1,2
200702_190218,134.64,-18.1,8
201023_183438,110.35,64.8,14
190801_223848,147.08,10.9,1
190714_211021,136.53,-11.4,5
210505_144810,143.9,-26.3,5
190820_184836,104.69,3.7,5
200508_210452,155.96,16.1,2
180904_193755,65.72,-55.6,5
190419_195016,157.76,25.9,15
190628_191217,158.64,36.7,14
190614_212730,96.53,46.7,14
190511_191745,144.06,13.8,1
190818_175022,134.15,36.9,15
180719_201737,153.57,-4.5,1
190630_182559,157.71,16.6,2
201021_184506,147.79,32.4,14
210518_192832,126.03,3.6,1
180906_193341,163.33,16.8,2
190625_190347,118.03,50.2,14
190623_180509,110.21,4.4,8
180704_190339,44.07,-36.7,5
200616_200617,167.86,12.8,2
210420_220141,139.17,3.3,1
190912_184819,122.92,66.9,14
200517_165327,152.58,30.2,15
201025_154247,154.2,14.8,1
201023_192709,122.1,3.3,5
180510_193542,153.2,3.3,1
181002_191948,121.06,5.8,5
200526_184143,102.79,57.2,14
180919_213632,124.37,41.8,14
210626_212818,125.39,-3.1,5
210404_155604,127.79,13.4,1
200906_163955,146.11,20.2,1
190609_202339,161.39,-8.4,8
210506_194013,134.04,50.6,14
180522_141544,111.05,-15.7,5
200916_190445,140.55,-9.0,5
200714_192511,143.27,0.8,1
210515_201346,99.79,82.3,13
210619_195913,157.38,3.4,2
