GYEAR,PCODE,HIT_VEL,HIT_ANG_VER,barrel
2020,50054,150.69,4.4,0
2020,50054,104.91,53.4,0
2020,50054,146.9,8.0,0
2020,50054,148.48,-0.4,0
2020,50054,151.71,5.4,0
2020,50054,137.67,5.9,0
2020,50054,131.08,-4.5,0
2020,50054,125.69,6.4,0
2020,50054,154.36,5.8,0
2020,50054,123.94,7.8,0
2020,50054,98.65,81.5,0
2020,50054,125.63,23.0,0
2020,50054,133.01,-5.8,0
2020,50054,139.85,-19.5,0
2020,50054,134.67,9.8,0
2020,50054,125.35,34.3,0
2020,50054,140.17,23.7,0
2020,50054,141.91,-17.1,0
2020,50054,146.59,21.6,0
2020,50054,150.35,13.3,0
2020,50054,132.22,25.3,0
2020,50054,120.5,19.5,0
2020,50054,145.25,31.9,1
2020,50054,116.59,45.2,0
2020,50054,132.13,30.6,0
2020,50054,121.13,9.6,0
2020,50054,142.88,7.1,0
2020,50054,125.56,-3.9,0
2020,50054,153.38,16.5,0
2020,50054,137.33,21.7,0
2020,50054,91.52,83.7,0
2020,50054,163.47,-4.5,0
2020,50054,129.36,24.5,0
2020,50054,104.1,42.8,0
2020,50054,81.62,42.1,0
2020,50054,107.9,-5.5,0
2020,50054,133.5,-2.1,0
2020,50054,103.86,70.8,0
2020,50054,131.63,35.6,0
2020,50054,115.84,64.8,0
2020,50054,144.44,34.5,0
2020,50054,141.85,-15.2,0
2021,50054,138.39,4.4,0
2021,50054,129.74,-8.6,0
2021,50054,147.6,28.4,1
2021,50054,128.61,33.4,0
2021,50054,109.98,19.5,0
2021,50054,126.91,17.1,0
2021,50054,131.01,8.1,0
2021,50054,145.74,-5.7,0
2021,50054,119.07,-9.8,0
2021,50054,86.05,-13.6,0
2021,50054,130.73,1.5,0
2021,50054,136.96,10.8,0
2021,50054,117.05,36.2,0
2020,50066,119.21,59.5,0
2020,50066,142.27,17.4,0
2020,50066,139.25,5.0,0
2020,50066,153.86,9.6,0
2020,50066,123.15,54.7,0
2020,50066,129.17,8.4,0
2020,50066,147.72,-6.7,0
2020,50066,149.37,-4.4,0
2020,50066,136.19,-7.1,0
2020,50066,151.68,-0.6,0
2020,50066,120.66,-5.1,0
2020,50066,134.05,22.5,0
2020,50066,144.32,26.6,0
2020,50066,102.39,10.0,0
2020,50066,128.64,54.4,0
2020,50066,131.73,-13.1,0
2020,50066,148.39,32.8,1
2020,50150,131.23,25.3,0
2020,50150,103.78,74.3,0
2020,50150,143.19,14.9,0
2020,50150,80.81,-23.7,0
2020,50150,129.4,21.4,0
2020,50150,134.15,11.5,0
2020,50150,116.08,32.3,0
2020,50150,123.22,23.7,0
2020,50150,145.66,-6.1,0
2020,50150,142.39,48.7,0
2020,50150,149.61,20.8,0
2020,50150,129.79,28.4,0
2020,50150,110.9,21.0,0
2020,50150,137.67,13.0,0
2020,50150,88.96,19.6,0
2020,50150,128.13,67.5,0
2020,50150,105.09,19.7,0
2020,50150,145.84,9.3,0
2020,50150,156.1,-1.2,0
2020,50150,157.89,-1.6,0
2020,50150,117.09,3.7,0
2020,50150,97.64,48.8,0
2021,50150,71.35,-14.3,0
2021,50150,105.52,-3.3,0
2021,50150,138.68,55.9,0
2021,50150,127.51,25.4,0
