GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,potential
2020.0,50054.0,66.0,77.0,69.0,0.203,14.0,0.0,17.0,0.24600000000000002,0.0,7.0,15.0,0.0,1.0,0.0,0.0
2021.0,50054.0,25.0,28.0,25.0,0.2,5.0,0.0,5.0,0.2,0.0,1.0,5.0,0.0,2.0,0.0,0.48100000000000004
2020.0,50066.0,26.0,32.0,30.0,0.2,6.0,1.0,11.0,0.36700000000000005,0.0,2.0,11.0,0.0,0.0,1.0,0.0
2020.0,50150.0,23.0,31.0,30.0,0.36700000000000005,11.0,0.0,13.0,0.433,0.0,1.0,6.0,0.0,0.0,2.0,0.0
2021.0,50150.0,7.0,12.0,10.0,0.1,1.0,0.0,1.0,0.1,0.0,1.0,2.0,0.0,1.0,0.0,0.37
2020.0,50165.0,117.0,494.0,431.0,0.278,120.0,38.0,255.0,0.5920000000000001,4.0,55.0,136.0,5.0,4.0,7.0,0.0
2021.0,50165.0,51.0,205.0,185.0,0.243,45.0,8.0,78.0,0.42200000000000004,0.0,18.0,43.0,0.0,2.0,2.0,1.0
2021.0,50167.0,14.0,19.0,16.0,0.125,2.0,0.0,2.0,0.125,0.0,1.0,7.0,0.0,1.0,0.0,0.111
2020.0,50202.0,68.0,41.0,37.0,0.27,10.0,0.0,10.0,0.27,1.0,2.0,5.0,0.0,0.0,1.0,0.0
2021.0,50202.0,33.0,24.0,20.0,0.1,2.0,0.0,2.0,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.29600000000000004
2020.0,50204.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020.0,50208.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021.0,50208.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14800000000000002
2020.0,50293.0,17.0,26.0,22.0,0.22699999999999998,5.0,0.0,5.0,0.22699999999999998,0.0,3.0,2.0,0.0,1.0,0.0,0.0
2020.0,50300.0,10.0,37.0,35.0,0.114,4.0,1.0,7.0,0.2,1.0,1.0,10.0,0.0,0.0,0.0,0.0
2020.0,50304.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021.0,50304.0,13.0,11.0,10.0,0.2,2.0,0.0,2.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.111
2021.0,50312.0,28.0,12.0,9.0,0.111,1.0,0.0,2.0,0.222,0.0,3.0,4.0,0.0,0.0,0.0,0.0
2020.0,50350.0,65.0,271.0,244.0,0.254,62.0,2.0,82.0,0.336,3.0,22.0,37.0,1.0,2.0,6.0,0.0
2020.0,50357.0,13.0,25.0,24.0,0.25,6.0,0.0,8.0,0.33299999999999996,0.0,1.0,10.0,0.0,0.0,0.0,0.0
2021.0,50357.0,22.0,56.0,47.0,0.106,5.0,0.0,7.0,0.149,0.0,9.0,21.0,0.0,0.0,1.0,0.111
2020.0,50365.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,50365.0,13.0,17.0,14.0,0.14300000000000002,2.0,0.0,2.0,0.14300000000000002,0.0,3.0,4.0,0.0,0.0,1.0,0.111
2020.0,50458.0,135.0,287.0,254.0,0.23199999999999998,59.0,1.0,69.0,0.272,2.0,24.0,44.0,0.0,2.0,1.0,0.0
2021.0,50458.0,68.0,196.0,172.0,0.267,46.0,1.0,54.0,0.314,3.0,13.0,21.0,0.0,0.0,0.0,1.5930000000000002
2020.0,50468.0,44.0,163.0,132.0,0.28,37.0,6.0,63.0,0.47700000000000004,1.0,23.0,41.0,0.0,7.0,3.0,0.0
2020.0,50469.0,51.0,217.0,196.0,0.209,41.0,8.0,72.0,0.36700000000000005,3.0,18.0,58.0,0.0,0.0,5.0,0.0
2020.0,50506.0,144.0,560.0,486.0,0.28,136.0,12.0,205.0,0.42200000000000004,8.0,54.0,60.0,2.0,8.0,20.0,0.0
2021.0,50506.0,68.0,274.0,231.0,0.27699999999999997,64.0,4.0,90.0,0.39,5.0,37.0,34.0,1.0,1.0,5.0,0.667
2020.0,50600.0,40.0,88.0,80.0,0.25,20.0,0.0,23.0,0.28800000000000003,1.0,4.0,13.0,0.0,0.0,1.0,0.0
2020.0,50657.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021.0,50657.0,12.0,21.0,20.0,0.2,4.0,0.0,4.0,0.2,0.0,1.0,4.0,0.0,0.0,0.0,0.111
2020.0,50704.0,52.0,119.0,108.0,0.231,25.0,1.0,33.0,0.306,0.0,9.0,38.0,0.0,1.0,2.0,0.0
