AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,50165,2021,20210404
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.14300000000000002,50165,2021,20210406
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.111,50165,2021,20210407
0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.1,50165,2021,20210409
0.750,5,4,2,3,1,0,1,1,0,0,1,0,1,0,0.28600000000000003,50165,2021,20210410
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.235,50165,2021,20210411
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.19,50165,2021,20210413
0.500,5,4,0,2,0,0,0,2,0,0,1,0,0,0,0.24,50165,2021,20210414
0.250,4,4,1,1,0,0,0,0,0,0,0,0,2,0,0.24100000000000002,50165,2021,20210415
0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.242,50165,2021,20210416
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.21600000000000003,50165,2021,20210417
0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.244,50165,2021,20210418
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.25,50165,2021,20210420
0.250,4,4,1,1,0,0,1,3,0,0,0,0,2,0,0.25,50165,2021,20210421
0.000,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0.235,50165,2021,20210422
0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.23199999999999998,50165,2021,20210423
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.22,50165,2021,20210424
0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.21,50165,2021,20210425
0.333,4,3,1,1,0,0,1,1,0,0,1,0,0,0,0.215,50165,2021,20210427
0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.217,50165,2021,20210428
0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.21899999999999997,50165,2021,20210429
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.20800000000000002,50165,2021,20210430
0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.21,50165,2021,20210501
0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.212,50165,2021,20210502
0.250,5,4,0,1,0,0,0,0,0,0,1,0,2,0,0.213,50165,2021,20210505
0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.213,50165,2021,20210506
0.400,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0.222,50165,2021,20210508
0.600,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0.24,50165,2021,20210509
