PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
201017_190044,95.76,-19.9,5
210518_193641,129.33,-10.7,5
190417_213840,148.48,27.9,14
210521_194311,133.67,67.3,14
180525_211531,150.59,49.1,14
200806_200059,139.77,52.5,14
200714_184505,152.62,30.2,2
190929_164027,120.74,48.7,14
180722_183727,132.87,18.5,14
190625_204109,114.02,1.0,5
180808_221323,112.63,32.2,17
210428_190950,154.38,16.0,14
180708_203236,154.89,-0.5,1
190921_174009,131.01,14.6,1
180606_154911,112.33,45.0,14
200927_145028,146.75,8.3,1
210518_201151,132.62,-4.5,5
210601_211808,133.77,45.1,14
200602_185235,147.19,-6.0,5
200519_184134,149.35,28.6,15
180330_202605,125.73,84.1,13
210530_141716,150.46,30.3,15
180721_205015,118.44,14.4,1
210416_220441,118.01,36.4,14
180704_210930,140.54,19.0,1
190916_183330,141.36,32.8,14
190616_192557,142.25,16.3,17
200714_185322,108.38,76.4,14
181013_192920,168.31,34.4,15
200705_172305,157.74,-11.2,5
190823_184530,164.28,-8.7,1
180707_204312,136.04,12.1,1
190611_195927,159.87,4.4,12
210625_204538,138.94,43.0,14
201014_184214,147.45,39.2,14
190602_194552,169.18,10.2,2
180327_201227,142.43,4.4,1
190421_151501,163.95,-6.8,5
190410_205853,86.27,-13.5,5
180926_160234,156.55,-3.8,1
201003_153820,106.34,66.9,13
210505_151951,131.35,-7.5,1
180410_192620,152.57,16.7,2
180908_182251,137.6,13.7,1
201003_190740,98.86,20.8,1
180704_195119,158.09,-0.4,1
180622_211700,138.11,10.1,1
200709_185942,107.74,32.9,14
210519_152543,110.19,22.2,1
180608_204250,157.48,7.8,1
190426_201146,153.69,9.4,1
200903_184458,155.49,24.8,15
190820_195517,146.78,14.8,12
200805_205211,156.38,-3.0,5
190505_143237,135.8,17.6,14
180919_205017,118.56,48.8,2
200602_183305,126.24,-18.5,2
180421_175051,102.75,73.6,14
180804_195626,122.1,9.8,1
180516_203700,144.11,22.1,14
201027_211805,144.63,1.9,1
210508_172422,148.6,-5.1,5
200926_190138,102.1,-0.1,5
180408_160615,146.99,0.8,5
210608_203827,136.88,37.5,14
200530_190741,123.32,48.7,14
180424_185547,127.17,-18.4,5
180711_184109,80.33,-24.0,5
210625_191049,153.72,21.8,2
210423_212531,161.57,21.9,15
190908_161806,145.4,-0.5,1
200516_140227,160.96,-1.6,5
180331_191152,153.57,5.9,1
200524_143949,116.09,32.3,14
201013_205314,150.12,9.3,1
200721_211450,122.86,32.3,14
190913_153648,142.98,-2.2,8
190913_143657,117.9,-18.6,5
180327_190245,91.42,-12.5,5
210408_183630,136.88,23.7,14
180425_210852,159.98,-4.6,5
180529_211041,144.2,51.0,14
200715_205955,130.5,12.8,1
200815_185704,128.53,31.5,14
190508_205132,155.05,28.3,2
210624_210539,106.83,15.1,1
190627_194423,113.57,34.7,14
200524_160415,159.08,13.1,1
200708_185257,153.93,4.5,1
190709_201037,100.65,-8.8,5
180327_214834,125.98,-27.8,5
210701_191905,138.78,-9.0,5
180904_212338,109.19,-13.4,5
210624_202532,142.77,19.0,14
190427_174103,163.25,-9.7,5
210501_181000,148.95,-10.9,1
200513_212403,106.51,35.2,1
180729_191220,100.91,-22.5,5
190514_193456,136.94,50.9,14
210411_163535,147.15,-13.1,5
190405_202035,149.08,-7.7,1
210602_221712,160.25,18.8,2
180904_213541,95.11,-20.6,5
190916_210817,135.15,2.6,1
200704_180815,148.12,33.7,15
210618_184331,153.35,-6.6,4
190607_200321,157.69,17.0,2
190817_203023,142.38,26.2,14
180508_194913,118.82,1.0,1
180519_185051,153.56,22.9,14
210506_195826,144.48,6.0,1
210530_140327,132.43,20.6,14
190621_185750,166.0,23.8,15
190402_211003,117.21,41.1,14
190920_202217,127.59,23.3,14
180329_190446,145.37,4.0,1
180523_195208,175.47,-1.6,5
190428_170224,130.74,-6.2,5
210604_220832,112.56,26.4,14
210502_154533,125.22,20.7,3
200619_213638,132.14,64.1,14
190621_203957,155.78,13.4,1
210609_210652,136.71,-14.3,1
180717_190356,79.25,-19.3,5
190418_183852,140.6,32.3,14
190919_191848,86.83,-40.3,5
200910_214413,145.47,23.2,2
200827_192350,139.27,20.8,14
180601_205449,124.2,1.9,5
180926_172212,150.19,35.4,15
190521_205843,148.46,39.5,14
190329_193750,127.37,-9.7,5
190808_185039,124.71,-11.0,5
200916_204823,107.84,13.9,14
180420_184516,164.49,-14.9,1
200721_192553,163.39,17.0,12
180524_212525,137.23,14.1,1
190418_183959,142.23,47.7,14
181013_183014,131.92,71.1,14
180627_183123,121.63,76.2,14
200726_173853,148.73,5.6,1
200730_203538,162.6,1.1,1
200927_194924,96.57,48.4,14
180404_203459,123.26,17.9,1
200607_191652,104.11,19.6,1
200512_184144,125.59,-7.7,5
190417_193722,131.48,29.4,14
180513_143125,103.2,-23.9,1
210624_200942,140.07,14.7,1
210430_203928,149.41,21.0,2
180815_193545,132.28,36.0,14
190501_210106,132.58,21.9,14
180726_195533,126.45,43.3,14
190602_194318,130.51,20.7,1
180802_210334,148.33,38.6,14
180426_205632,74.86,-9.7,5
201004_162609,125.93,37.2,17
180707_180825,96.75,56.9,14
200715_195150,96.06,29.5,1
201016_191154,72.19,22.5,5
200609_204234,153.4,2.7,1
180814_185744,152.02,7.0,1
200614_183133,151.44,-5.9,1
180729_191555,142.15,48.5,14
210408_192551,123.64,-9.5,5
180729_192154,153.65,-14.7,5
200924_194543,114.25,85.4,13
200805_211923,114.73,20.7,1
210406_204120,71.8,23.2,5
200628_194419,130.83,47.1,14
190928_204710,131.53,38.9,14
190628_202112,148.72,23.6,14
200513_190520,150.53,-2.6,1
210425_170028,135.24,35.1,14
190606_165655,88.99,18.7,1
210416_213415,108.59,38.8,14
190330_195418,152.21,-11.8,5
200912_192528,151.14,18.5,17
190820_211347,69.21,-29.4,5
200619_200524,103.58,36.1,1
180607_211308,144.93,12.1,1
190405_195752,153.44,10.9,1
200620_172633,143.24,32.6,14
210420_193146,100.22,5.2,5
181004_200931,58.49,37.9,11
200930_152049,135.67,33.2,14
180814_203212,107.42,74.5,13
200701_191851,133.08,-27.3,5
200717_215953,136.48,-23.9,5
200630_190755,108.15,32.1,1
210701_205456,135.75,-6.7,8
201030_185150,103.61,51.4,14
180508_184454,128.22,89.3,13
200916_184415,131.55,74.3,14
200514_212347,135.46,24.2,2
190703_205214,138.45,21.2,2
180510_183628,88.87,7.0,5
180726_185215,114.9,45.8,14
200722_205302,107.33,-4.9,5
201015_203541,148.23,36.3,17
200506_211941,150.15,51.2,14
200826_191506,150.71,1.5,12
210602_220459,111.28,63.3,14
210618_191230,141.94,28.7,14
200804_213119,124.92,37.1,14
200926_192721,129.6,35.2,14
180717_194708,101.08,-20.6,4
180605_211642,124.11,-1.6,1
180403_183014,158.95,-14.0,5
180328_202924,150.14,15.2,1
181010_202903,108.67,21.7,1
200603_203433,116.86,36.2,14
180704_191442,130.7,53.8,14
190502_190740,135.53,0.0,5
190423_194657,118.3,31.6,14
200811_200345,128.06,46.5,14
190620_184536,144.4,56.1,14
180623_191536,149.62,23.9,17
180501_201940,131.12,34.1,14
190418_192803,113.77,-3.3,5
190706_203903,142.08,23.6,2
190507_192641,151.47,-7.9,5
180609_183231,130.94,30.7,14
180615_210830,96.24,37.3,14
200531_170210,147.65,15.3,14
