GYEAR,G_ID,PIT_ID,PCODE,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM,barrel
2018,20180324HHWO0,180324_140514,76753,135.18,9.9,1,148.78,5,1
2018,20180324HHWO0,180324_140911,62700,113.72,13.5,1,139.13,5,1
2018,20180324HHWO0,180324_142050,68730,54.11,16.4,7,134.07,5,1
2018,20180324HHWO0,180324_143122,74163,115.52,26.6,14,122.82,5,1
2018,20180324HHWO0,180324_143925,64300,154.95,0.8,1,140.14,5,0
2018,20180324HHWO0,180324_145522,76753,134.27,9.4,1,144.83,5,1
2018,20180324HHWO0,180324_145908,62700,128.37,26.4,14,147.46,5,1
2018,20180324HHWO0,180324_150604,75125,142.52,11.6,1,148.67,5,1
2018,20180324HHWO0,180324_153838,75125,155.11,-2.8,5,125.0,5,0
2018,20180324HHWO0,180324_154150,64300,119.63,38.6,14,137.25,5,1
2018,20180324HHWO0,180324_154449,74163,124.08,25.5,13,135.33,5,1
2018,20180324HHWO0,180324_155614,77564,144.44,15.1,2,148.88,5,1
2018,20180324HHWO0,180324_162025,62700,122.87,45.3,14,135.37,5,1
2018,20180324HHWO0,180324_162608,75125,130.82,10.0,1,130.25,5,1
2018,20180324HHWO0,180324_162925,64300,131.99,48.0,14,139.87,5,1
2018,20180324HHWO0,180324_163340,77564,136.09,39.2,14,139.84,5,1
2018,20180324HHWO0,180324_163814,68730,134.39,3.7,3,135.1,5,0
2018,20180324HHWO0,180324_164656,74163,131.27,8.9,1,133.14,5,1
2018,20180324HHWO0,180324_170600,76753,138.98,18.8,14,128.04,5,1
2018,20180324HHWO0,180324_171127,62700,111.63,-13.0,5,126.71,5,0
2018,20180324HHWO0,180324_171754,75125,168.18,3.3,12,121.94,5,1
2018,20180324HHWO0,180324_172640,68730,137.15,15.3,1,153.06,5,1
2018,20180324KTHT0,180324_141036,76849,156.99,5.5,1,126.78,4,1
2018,20180324KTHT0,180324_141148,70410,35.46,10.5,16,140.99,4,0
2018,20180324KTHT0,180324_141343,67650,154.71,9.3,1,139.95,4,1
2018,20180324KTHT0,180324_143322,74215,150.0,17.5,14,143.34,4,1
2018,20180324KTHT0,180324_143544,76313,139.81,33.3,14,145.96,4,1
2018,20180324KTHT0,180324_144302,78603,147.63,-11.2,5,123.35,4,0
2018,20180324KTHT0,180324_144836,70410,113.61,72.8,14,139.56,4,0
2018,20180324KTHT0,180324_144937,67650,157.79,15.5,14,140.99,4,1
2018,20180324KTHT0,180324_151348,74215,155.24,15.6,12,124.3,4,1
2018,20180324KTHT0,180324_151700,74339,135.61,13.4,1,141.51,4,1
2018,20180324KTHT0,180324_152307,78603,150.39,2.2,4,139.87,4,0
