DATE,OPPOSITE,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE
05.05,두산,0.667,4,3,0,2,2,0,0,0,0,0,1,0,0,0,0.667,50165
05.06,두산,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.429,50165
05.07,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.364,50165
05.08,NC,0.600,5,5,1,3,0,0,0,1,0,0,0,0,1,0,0.438,50165
05.10,NC,0.500,5,4,2,2,0,0,2,2,0,0,1,0,1,0,0.450,50165
05.12,SK,0.333,4,3,1,1,0,0,1,2,0,0,1,0,0,0,0.435,50165
05.13,SK,0.250,5,4,2,1,1,0,0,1,0,0,1,0,1,0,0.407,50165
05.14,SK,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.419,50165
05.16,키움,0.000,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0.406,50165
05.16,키움,0.333,4,3,1,1,0,0,1,1,0,0,0,1,1,0,0.400,50165
05.17,키움,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.378,50165
05.19,삼성,0.667,4,3,1,2,1,0,1,3,0,0,1,0,0,0,0.400,50165
05.20,삼성,0.333,4,3,1,1,0,0,1,1,0,0,1,0,1,0,0.395,50165
05.21,삼성,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.404,50165
05.22,KT,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.392,50165
05.23,KT,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.364,50165
05.24,KT,0.200,5,5,1,1,0,0,1,4,0,0,0,0,1,0,0.350,50165
05.26,한화,0.333,4,3,1,1,0,0,1,1,0,0,1,0,2,0,0.349,50165
05.27,한화,0.500,4,4,1,2,0,0,1,2,0,0,0,0,1,0,0.358,50165
05.28,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.352,50165
05.29,KIA,0.750,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0.373,50165
05.30,KIA,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.372,50165
05.31,KIA,0.500,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0.375,50165
06.02,삼성,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.373,50165
06.03,삼성,0.000,5,3,0,0,0,0,0,1,0,0,1,0,2,0,0.360,50165
06.04,삼성,0.400,5,5,1,2,0,0,0,0,0,0,0,0,1,0,0.363,50165
06.05,키움,0.500,4,4,2,2,0,0,2,3,0,0,0,0,1,0,0.368,50165
06.06,키움,0.000,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0.361,50165
06.07,키움,0.600,5,5,0,3,0,0,0,1,0,0,0,0,1,0,0.373,50165
06.09,SK,0.500,4,2,0,1,0,0,0,0,0,0,2,0,0,0,0.375,50165
06.11,SK,0.500,4,4,2,2,0,0,1,2,0,0,0,0,0,0,0.380,50165
06.11,SK,0.250,4,4,0,1,1,0,0,2,0,0,0,0,2,0,0.375,50165
06.18,한화,0.000,5,2,0,0,0,0,0,0,0,0,3,0,2,0,0.368,50165
06.19,두산,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.353,50165
06.20,두산,0.500,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0.358,50165
06.21,두산,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.362,50165
06.23,키움,0.000,5,4,0,0,0,0,0,0,0,0,1,0,2,0,0.351,50165
06.25,키움,0.333,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0.351,50165
06.25,키움,0.400,5,5,0,2,0,0,0,1,0,0,0,0,2,0,0.353,50165
06.26,SK,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.352,50165
06.27,SK,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.342,50165
06.28,SK,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.336,50165
06.30,KT,0.200,5,5,0,1,1,0,0,0,0,0,0,0,1,0,0.331,50165
07.01,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.325,50165
07.02,KT,0.750,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0.335,50165
07.03,삼성,0.333,4,3,2,1,0,0,1,1,0,0,1,0,1,0,0.335,50165
