GYEAR,G_ID,PIT_ID,PCODE,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM,barrel
2021,20210403SSWO0,210403_140101,62415,131.7,-5.8,5,144.35,5,0
2021,20210403SSWO0,210403_140857,74163,116.87,18.4,1,132.34,5,1
2021,20210403SSWO0,210403_141459,75125,160.0,16.8,2,120.78,5,1
2021,20210403SSWO0,210403_142105,51463,160.37,35.2,14,142.66,5,1
2021,20210403SSWO0,210403_142217,75566,140.08,33.6,14,142.97,5,1
2021,20210403SSWO0,210403_144145,74163,139.71,-4.9,5,140.69,5,0
2021,20210403SSWO0,210403_144914,62415,119.91,23.9,1,142.46,5,1
2021,20210403SSWO0,210403_145401,62404,151.74,-8.8,8,126.24,5,0
2021,20210403SSWO0,210403_150151,51463,151.5,16.4,14,133.05,5,1
2021,20210403SSWO0,210403_150252,75566,113.95,-5.7,5,143.17,5,0
2021,20210403SSWO0,210403_150637,67304,152.27,13.2,1,142.93,5,1
2021,20210403SSWO0,210403_151007,65362,122.43,56.5,2,143.65,5,0
2021,20210403SSWO0,210403_151913,61404,125.7,11.1,1,131.39,5,1
2021,20210403SSWO0,210403_153218,67341,158.92,-4.7,1,144.47,5,0
2021,20210403SSWO0,210403_153300,75125,157.81,15.3,2,143.99,5,1
2021,20210403SSWO0,210403_153431,78168,92.83,-31.6,5,129.68,5,0
2021,20210403SSWO0,210403_154207,65362,126.25,-0.9,1,138.59,5,0
2021,20210403SSWO0,210403_154804,74163,122.86,-19.0,5,108.99,5,0
2021,20210403SSWO0,210403_155111,62415,122.72,-3.6,1,142.2,5,0
2021,20210403SSWO0,210403_155519,79402,149.95,24.8,14,141.37,5,1
2021,20210403SSWO0,210403_155754,62404,135.89,23.6,14,130.47,5,1
2021,20210403SSWO0,210403_155917,51463,175.91,-10.8,1,144.39,5,0
2021,20210403SSWO0,210403_160052,75566,134.09,-22.9,1,134.94,5,0
2021,20210403SSWO0,210403_160214,74540,148.1,-9.1,5,135.13,5,0
2021,20210403SSWO0,210403_161002,75125,160.74,6.6,12,144.83,5,1
2021,20210403SSWO0,210403_161402,78168,136.71,28.0,2,142.65,5,1
2021,20210403SSWO0,210403_163018,79402,117.94,50.8,14,131.32,5,1
2021,20210403SSWO0,210403_163337,67304,151.01,1.1,5,117.94,5,0
2021,20210403SSWO0,210403_163613,65362,104.1,7.1,5,137.98,5,0
2021,20210403SSWO0,210403_163930,62404,128.55,-13.4,5,126.47,5,0
2021,20210403SSWO0,210403_164210,51463,145.78,44.2,14,136.26,5,1
2021,20210403SSWO0,210403_164347,75566,113.24,42.0,14,134.52,5,1
2021,20210404HHKT0,210404_140621,51725,115.64,15.8,1,121.06,2,1
2021,20210404HHKT0,210404_141431,51004,142.14,1.7,5,132.93,2,0
2021,20210404HHKT0,210404_141957,78288,161.8,0.2,1,140.17,2,0
2021,20210404HHKT0,210404_142458,68050,150.49,14.3,1,134.71,2,1
2021,20210404HHKT0,210404_143145,78548,148.51,41.4,14,132.65,2,1
2021,20210404HHKT0,210404_144127,62700,68.96,15.1,5,137.17,2,1
2021,20210404HHKT0,210404_144238,51725,130.8,-10.4,5,136.37,2,0
2021,20210404HHKT0,210404_144522,64166,106.77,-23.6,5,128.13,2,0
2021,20210404HHKT0,210404_144929,64868,145.84,-15.9,5,139.99,2,0
2021,20210404HHKT0,210404_145859,51004,146.15,43.8,14,125.79,2,1
2021,20210404HHKT0,210404_150005,68050,157.91,-4.6,1,128.82,2,0
2021,20210404HHKT0,210404_150700,68743,112.25,39.1,14,127.34,2,1
2021,20210404HHKT0,210404_150953,78548,149.83,33.2,15,141.65,2,1
2021,20210404HHKT0,210404_151315,64166,145.67,19.6,2,108.5,2,1
2021,20210404HHKT0,210404_151615,64006,132.65,25.7,17,128.29,2,1
2021,20210404HHKT0,210404_151711,64868,125.15,-1.1,5,126.77,2,0
2021,20210404HHKT0,210404_152225,76313,124.41,82.4,13,141.54,2,0
2021,20210404HHKT0,210404_153049,62700,107.34,33.8,14,135.07,2,1
2021,20210404HHKT0,210404_153222,51725,119.25,9.1,1,125.27,2,1
