AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.750,4,4,2,3,2,0,0,0,0,0,0,0,0,0,0.750,76232,2018,20180324
0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,1,0.625,76232,2018,20180325
0.000,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0.455,76232,2018,20180327
0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.400,76232,2018,20180328
1.000,4,3,1,3,1,0,0,0,0,0,1,0,0,0,0.500,76232,2018,20180329
0.500,5,4,1,2,1,0,1,3,0,0,1,0,0,0,0.500,76232,2018,20180330
0.500,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0.500,76232,2018,20180331
0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.481,76232,2018,20180401
0.600,5,5,1,3,2,0,0,1,1,0,0,0,0,0,0.500,76232,2018,20180403
0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.444,76232,2018,20180404
1.000,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0.459,76232,2018,20180407
0.000,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0.447,76232,2018,20180408
0.250,5,4,0,1,0,0,0,1,0,0,0,1,1,0,0.429,76232,2018,20180410
0.400,5,5,2,2,0,0,0,0,1,0,0,0,1,0,0.426,76232,2018,20180411
0.500,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0.431,76232,2018,20180412
0.500,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0.436,76232,2018,20180413
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.407,76232,2018,20180414
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.393,76232,2018,20180415
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.381,76232,2018,20180417
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381,76232,2018,20180418
0.500,4,4,1,2,0,0,0,1,0,0,0,0,1,0,0.388,76232,2018,20180419
0.500,4,2,1,1,0,0,0,1,1,0,1,1,0,0,0.391,76232,2018,20180420
1.000,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0.400,76232,2018,20180421
0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.389,76232,2018,20180422
0.600,5,5,2,3,2,0,1,2,0,0,0,0,0,0,0.403,76232,2018,20180424
0.500,5,4,1,2,0,0,1,1,0,0,1,0,0,0,0.407,76232,2018,20180425
0.500,4,4,0,2,1,0,0,1,0,0,0,0,1,0,0.412,76232,2018,20180426
1.000,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0.419,76232,2018,20180427
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.400,76232,2018,20180428
0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.404,76232,2018,20180429
0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.398,76232,2018,20180501
0.400,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0.398,76232,2018,20180503
0.600,5,5,2,3,2,0,1,4,0,0,0,0,0,0,0.407,76232,2018,20180504
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.402,76232,2018,20180505
0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.393,76232,2018,20180506
1.000,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0.408,76232,2018,20180508
0.250,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.403,76232,2018,20180509
0.500,6,6,0,3,0,0,0,0,0,0,0,0,2,0,0.408,76232,2018,20180510
0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0.402,76232,2018,20180513
0.500,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0.404,76232,2018,20180515
0.333,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0.403,76232,2018,20180516
0.333,5,3,1,1,0,0,0,1,0,0,1,0,1,0,0.401,76232,2018,20180518
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.396,76232,2018,20180519
0.500,5,4,1,2,0,0,0,1,0,0,1,0,1,0,0.399,76232,2018,20180520
0.000,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0.388,76232,2018,20180522
1.000,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0.396,76232,2018,20180523
0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.392,76232,2018,20180524
0.250,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0.389,76232,2018,20180525
0.400,5,5,1,2,0,0,0,1,0,0,0,0,0,0,0.389,76232,2018,20180526
0.500,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0.392,76232,2018,20180527
0.667,4,3,2,2,1,0,0,1,0,0,1,0,0,0,0.397,76232,2018,20180530
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.393,76232,2018,20180531
0.750,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0.401,76232,2018,20180601
1.000,4,3,3,3,1,0,1,1,0,0,1,0,0,0,0.411,76232,2018,20180602
0.000,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0.400,76232,2018,20180603
0.250,4,4,1,1,0,0,1,1,0,0,0,0,1,1,0.397,76232,2018,20180605
0.600,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0.402,76232,2018,20180606
0.333,4,3,1,1,0,1,0,1,0,0,0,1,1,1,0.401,76232,2018,20180607
-,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.401,76232,2018,20180608
0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.400,76232,2018,20180609
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.394,76232,2018,20180610
0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.396,76232,2018,20180612
0.667,4,3,2,2,0,0,2,3,0,0,1,0,0,0,0.400,76232,2018,20180613
0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.399,76232,2018,20180614
1.000,4,2,2,2,1,0,1,1,0,0,2,0,0,0,0.405,76232,2018,20180616
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.399,76232,2018,20180617
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.392,76232,2018,20180619
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.390,76232,2018,20180620
0.200,5,5,1,1,0,0,1,1,0,0,0,0,0,1,0.386,76232,2018,20180621
0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.386,76232,2018,20180622
0.500,5,4,1,2,1,0,0,0,0,0,1,0,0,0,0.388,76232,2018,20180623
0.500,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0.389,76232,2018,20180626
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.383,76232,2018,20180627
0.000,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0.380,76232,2018,20180628
0.250,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0.378,76232,2018,20180629
0.400,5,5,1,2,0,0,0,2,0,0,0,0,0,1,0.378,76232,2018,20180630
0.750,5,4,1,3,0,0,0,1,0,0,0,0,1,0,0.384,76232,2018,20180704
1.000,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0.386,76232,2018,20180705
0.400,5,5,1,2,1,0,0,1,0,0,0,0,1,0,0.387,76232,2018,20180706
0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,2,0.385,76232,2018,20180707
0.000,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0.382,76232,2018,20180708
0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0.379,76232,2018,20180710
0.600,5,5,0,3,0,0,0,1,0,0,0,0,0,1,0.383,76232,2018,20180711
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.379,76232,2018,20180712
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,76232,2018,20180717
0.250,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0.377,76232,2018,20180718
0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.375,76232,2018,20180719
0.500,6,6,1,3,0,0,0,1,0,0,0,0,0,0,0.378,76232,2018,20180720
0.500,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0.379,76232,2018,20180721
0.250,4,4,1,1,0,0,0,0,1,0,0,0,1,0,0.377,76232,2018,20180722
0.667,4,3,1,2,0,0,1,1,0,0,1,0,0,0,0.380,76232,2018,20180724
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.377,76232,2018,20180725
0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.377,76232,2018,20180726
0.250,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0.375,76232,2018,20180727
0.600,5,5,1,3,1,0,1,3,0,0,0,0,0,0,0.379,76232,2018,20180728
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,76232,2018,20180729
0.500,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0.380,76232,2018,20180731
0.000,5,2,2,0,0,0,0,2,1,0,1,0,0,0,0.377,76232,2018,20180801
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.376,76232,2018,20180802
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.373,76232,2018,20180804
0.667,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0.375,76232,2018,20180805
0.000,4,1,2,0,0,0,0,0,1,0,3,0,0,0,0.374,76232,2018,20180807
0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.376,76232,2018,20180808
0.000,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0.371,76232,2018,20180809
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.368,76232,2018,20180810
0.333,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0.368,76232,2018,20180812
0.500,4,4,1,2,1,0,0,0,0,0,0,0,1,0,0.369,76232,2018,20180814
0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.370,76232,2018,20180815
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.366,76232,2018,20180816
0.000,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0.362,76232,2018,20180905
0.000,5,3,0,0,0,0,0,0,0,0,1,1,1,0,0.359,76232,2018,20180906
0.400,5,5,1,2,0,0,1,2,0,0,0,0,0,1,0.359,76232,2018,20180907
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.355,76232,2018,20180908
0.000,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0.352,76232,2018,20180912
0.333,5,3,1,1,0,0,0,1,0,0,1,0,0,0,0.352,76232,2018,20180913
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.349,76232,2018,20180914
0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.350,76232,2018,20180915
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.349,76232,2018,20180916
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349,76232,2018,20180918
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.348,76232,2018,20180919
0.250,5,4,2,1,0,0,0,0,0,0,1,0,1,0,0.347,76232,2018,20180920
0.000,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0.342,76232,2018,20180921
0.800,6,5,2,4,1,0,0,2,0,0,1,0,0,0,0.348,76232,2018,20180922
1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.350,76232,2018,20180923
0.333,5,3,2,1,1,0,0,1,0,0,1,1,0,0,0.350,76232,2018,20180925
0.500,3,2,0,1,0,0,0,0,0,0,1,0,0,1,0.350,76232,2018,20180928
0.750,5,4,2,3,1,0,1,2,0,0,0,1,0,0,0.354,76232,2018,20180929
0.000,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0.352,76232,2018,20181006
0.400,5,5,0,2,0,0,0,1,0,0,0,0,1,0,0.353,76232,2018,20181007
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.351,76232,2018,20181010
0.800,5,5,1,4,0,0,1,2,0,0,0,0,1,0,0.356,76232,2018,20181012
0.750,4,4,0,3,0,0,0,0,0,0,0,0,1,0,0.360,76232,2018,20181013
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.358,76232,2018,20181014
0.250,4,4,1,1,0,0,1,1,0,0,0,0,2,0,0.250,68050,2018,20180324
0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.286,68050,2018,20180325
