AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.667,3,3,0,2,0,0,0,1,0,0,0,0,1,0,0.667,61102,2019,20190323
0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.28600000000000003,61102,2019,20190324
0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.273,61102,2019,20190326
0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.33299999999999996,61102,2019,20190327
0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.313,61102,2019,20190328
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.316,61102,2019,20190329
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.28600000000000003,61102,2019,20190330
0.200,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0.26899999999999996,61102,2019,20190331
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0.233,61102,2019,20190402
0.250,5,4,0,1,0,0,0,0,0,0,0,1,2,0,0.235,61102,2019,20190403
0.333,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0.243,61102,2019,20190404
0.500,4,2,2,1,0,0,1,2,0,0,1,0,0,0,0.256,61102,2019,20190405
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.256,61102,2019,20190406
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.244,61102,2019,20190407
0.250,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0.245,61102,2019,20190410
0.750,4,4,2,3,1,0,1,2,0,0,0,0,0,0,0.28300000000000003,61102,2019,20190411
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.268,61102,2019,20190412
0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0.267,61102,2019,20190413
0.000,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.262,61102,2019,20190414
0.000,5,3,0,0,0,0,0,1,0,0,0,1,1,0,0.25,61102,2019,20190416
0.250,6,4,1,1,0,0,0,0,0,0,2,0,0,0,0.25,61102,2019,20190417
0.000,4,4,1,0,0,0,0,1,0,0,0,0,2,0,0.23600000000000002,61102,2019,20190418
1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.247,61102,2019,20190419
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.23399999999999999,61102,2019,20190420
1.000,4,2,1,2,1,0,0,0,0,0,1,1,0,0,0.253,61102,2019,20190421
0.500,4,4,1,2,0,0,0,2,0,0,0,0,1,0,0.265,61102,2019,20190423
0.250,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.264,61102,2019,20190424
0.333,4,3,1,1,0,0,1,1,0,0,0,1,1,0,0.267,61102,2019,20190427
0.500,4,4,1,2,1,0,1,1,0,0,0,0,0,0,0.27699999999999997,61102,2019,20190428
0.167,6,6,1,1,0,0,1,1,0,0,0,0,0,2,0.27,61102,2019,20190430
0.250,4,4,1,1,1,0,0,0,0,0,0,0,3,0,0.26899999999999996,61102,2019,20190501
0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.262,61102,2019,20190502
0.667,4,3,1,2,0,0,0,0,0,0,0,1,0,1,0.273,61102,2019,20190503
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.263,61102,2019,20190504
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.256,61102,2019,20190505
0.600,5,5,1,3,0,0,0,2,0,0,0,0,2,0,0.27,61102,2019,20190507
0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.278,61102,2019,20190508
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.26899999999999996,61102,2019,20190509
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.261,61102,2019,20190510
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,61102,2019,20190511
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.261,61102,2019,20190512
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.255,61102,2019,20190514
0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.247,61102,2019,20190515
0.333,4,3,1,1,0,0,0,1,0,0,0,0,2,0,0.248,61102,2019,20190516
1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.253,61102,2019,20190517
0.333,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0.255,61102,2019,20190518
0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.256,61102,2019,20190521
0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.25,61102,2019,20190522
0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,1,0.256,61102,2019,20190523
0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.256,61102,2019,20190524
0.000,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0.251,61102,2019,20190525
0.400,5,5,1,2,1,0,0,1,0,0,0,0,1,0,0.256,61102,2019,20190526
0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.253,61102,2019,20190528
0.333,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0.254,61102,2019,20190529
-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.254,61102,2019,20190530
1.000,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0.266,61102,2019,20190531
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.262,61102,2019,20190614
0.750,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0.272,61102,2019,20190615
0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.268,61102,2019,20190616
0.000,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0.265,61102,2019,20190618
0.200,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0.264,61102,2019,20190619
0.333,4,3,1,1,0,0,1,2,0,0,0,0,0,0,0.265,61102,2019,20190620
0.250,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0.264,61102,2019,20190621
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.262,61102,2019,20190622
0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.263,61102,2019,20190623
0.500,4,4,0,2,1,0,0,1,0,0,0,0,1,1,0.267,61102,2019,20190625
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.262,61102,2019,20190626
0.500,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0.265,61102,2019,20190627
