PA,AB,H,BB,HBP,SF,PCODE,GYEAR,G_ID,OBP,OBP_cumsum
3,3,2,0,0,0.0,61102,2019,20190323,0.6666666666666666,0.6666666666666666
5,4,0,1,0,0.0,61102,2019,20190324,0.2,0.375
4,4,1,0,0,0.0,61102,2019,20190326,0.25,0.3333333333333333
4,4,2,0,0,0.0,61102,2019,20190327,0.5,0.375
1,1,0,0,0,0.0,61102,2019,20190328,0.0,0.35294117647058826
4,3,1,1,0,0.0,61102,2019,20190329,0.5,0.38095238095238093
2,2,0,0,0,0.0,61102,2019,20190330,0.0,0.34782608695652173
5,5,1,0,0,0.0,61102,2019,20190331,0.2,0.32142857142857145
4,4,0,0,0,0.0,61102,2019,20190402,0.0,0.28125
5,4,1,0,1,0.0,61102,2019,20190403,0.4,0.2972972972972973
3,3,1,0,0,0.0,61102,2019,20190404,0.3333333333333333,0.3
4,2,1,1,0,1.0,61102,2019,20190405,0.5,0.3181818181818182
4,4,1,0,0,0.0,61102,2019,20190406,0.25,0.3125
2,2,0,0,0,0.0,61102,2019,20190407,0.0,0.3
4,4,1,0,0,0.0,61102,2019,20190410,0.25,0.2962962962962963
4,4,3,0,0,0.0,61102,2019,20190411,0.75,0.3275862068965517
3,3,0,0,0,0.0,61102,2019,20190412,0.0,0.3114754098360656
4,4,1,0,0,0.0,61102,2019,20190413,0.25,0.3076923076923077
2,1,0,1,0,0.0,61102,2019,20190414,0.5,0.31343283582089554
5,3,0,0,1,1.0,61102,2019,20190416,0.2,0.3055555555555556
6,4,1,2,0,0.0,61102,2019,20190417,0.5,0.32051282051282054
4,4,0,0,0,0.0,61102,2019,20190418,0.0,0.3048780487804878
1,1,1,0,0,0.0,61102,2019,20190419,1.0,0.3132530120481928
4,4,0,0,0,0.0,61102,2019,20190420,0.0,0.2988505747126437
4,2,2,1,1,0.0,61102,2019,20190421,1.0,0.32967032967032966
4,4,2,0,0,0.0,61102,2019,20190423,0.5,0.3368421052631579
4,4,1,0,0,0.0,61102,2019,20190424,0.25,0.3333333333333333
4,3,1,0,1,0.0,61102,2019,20190427,0.5,0.33980582524271846
4,4,2,0,0,0.0,61102,2019,20190428,0.5,0.34579439252336447
6,6,1,0,0,0.0,61102,2019,20190430,0.16666666666666666,0.336283185840708
4,4,1,0,0,0.0,61102,2019,20190501,0.25,0.3333333333333333
4,3,0,1,0,0.0,61102,2019,20190502,0.25,0.3305785123966942
4,3,2,0,1,0.0,61102,2019,20190503,0.75,0.344
4,4,0,0,0,0.0,61102,2019,20190504,0.0,0.3333333333333333
3,3,0,0,0,0.0,61102,2019,20190505,0.0,0.32575757575757575
5,5,3,0,0,0.0,61102,2019,20190507,0.6,0.3357664233576642
