PCODE,GYEAR,G_ID,STADIUM,AVG1,PA,AB,R,H,2B,3B,HR,RBI,barrel_per,1B,SLG,SLG_cumsum
61102,2019,20190323,4.0,0.667,3,3,0,2,0,0,0,1,0.0,2,0.6666666666666666,0.6666666666666666
61102,2019,20190326,3.0,0.250,4,4,0,1,1,0,0,0,0.5,0,0.5,0.5714285714285714
61102,2019,20190327,3.0,0.500,4,4,0,2,1,0,0,0,0.75,1,0.75,0.6363636363636364
61102,2019,20190329,1.0,0.333,4,3,0,1,0,0,0,0,0.25,1,0.3333333333333333,0.5714285714285714
61102,2019,20190330,1.0,0.000,2,2,0,0,0,0,0,0,0.5,0,0.0,0.5
61102,2019,20190331,1.0,0.200,5,5,0,1,1,0,0,1,0.4,0,0.4,0.47619047619047616
61102,2019,20190402,10.0,0.000,4,4,0,0,0,0,0,0,0.0,0,0.0,0.4
61102,2019,20190403,10.0,0.250,5,4,0,1,0,0,0,0,0.2,1,0.25,0.3793103448275862
61102,2019,20190404,10.0,0.333,3,3,0,1,1,0,0,0,0.3333333333333333,0,0.6666666666666666,0.40625
61102,2019,20190405,2.0,0.500,4,2,2,1,0,0,1,2,0.5,0,2.0,0.5
61102,2019,20190406,2.0,0.250,4,4,0,1,0,0,0,0,0.5,1,0.25,0.47368421052631576
61102,2019,20190407,2.0,0.000,2,2,0,0,0,0,0,0,0.5,0,0.0,0.45
61102,2019,20190410,1.0,0.250,4,4,1,1,0,0,1,2,0.5,0,1.0,0.5
61102,2019,20190411,1.0,0.750,4,4,2,3,1,0,1,2,1.0,1,1.75,0.6041666666666666
61102,2019,20190412,1.0,0.000,3,3,0,0,0,0,0,0,0.3333333333333333,0,0.0,0.5686274509803921
61102,2019,20190413,1.0,0.250,4,4,0,1,1,0,0,0,0.25,0,0.5,0.5636363636363636
61102,2019,20190414,1.0,0.000,2,1,0,0,0,0,0,0,0.0,0,0.0,0.5535714285714286
61102,2019,20190416,7.0,0.000,5,3,0,0,0,0,0,1,0.6,0,0.0,0.5254237288135594
61102,2019,20190417,7.0,0.250,6,4,1,1,0,0,0,0,0.16666666666666666,1,0.25,0.5079365079365079
61102,2019,20190418,7.0,0.000,4,4,1,0,0,0,0,1,0.0,0,0.0,0.47761194029850745
61102,2019,20190419,1.0,1.000,1,1,0,1,0,0,0,0,1.0,1,1.0,0.4852941176470588
61102,2019,20190420,1.0,0.000,4,4,0,0,0,0,0,0,0.5,0,0.0,0.4583333333333333
61102,2019,20190421,1.0,1.000,4,2,1,2,1,0,0,0,0.25,1,1.5,0.4864864864864865
61102,2019,20190423,1.0,0.500,4,4,1,2,0,0,0,2,0.25,2,0.5,0.48717948717948717
61102,2019,20190424,1.0,0.250,4,4,1,1,0,0,0,1,0.5,1,0.25,0.47560975609756095
61102,2019,20190427,8.0,0.333,4,3,1,1,0,0,1,1,0.25,0,1.3333333333333333,0.5058823529411764
61102,2019,20190428,8.0,0.500,4,4,1,2,1,0,1,1,0.75,0,1.5,0.550561797752809
61102,2019,20190430,1.0,0.167,6,6,1,1,0,0,1,1,0.3333333333333333,0,0.6666666666666666,0.5578947368421052
61102,2019,20190501,1.0,0.250,4,4,1,1,1,0,0,0,0.25,0,0.5,0.5555555555555556
61102,2019,20190502,1.0,0.000,4,3,0,0,0,0,0,0,0.25,0,0.0,0.5392156862745098
61102,2019,20190503,1.0,0.667,4,3,1,2,0,0,0,0,0.25,2,0.6666666666666666,0.5428571428571428
61102,2019,20190504,1.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.5229357798165137
61102,2019,20190505,1.0,0.000,3,3,0,0,0,0,0,0,0.6666666666666666,0,0.0,0.5089285714285714
61102,2019,20190507,5.0,0.600,5,5,1,3,0,0,0,2,0.4,3,0.6,0.5128205128205128
61102,2019,20190508,5.0,0.500,4,4,0,2,0,0,0,0,0.5,2,0.5,0.512396694214876
61102,2019,20190509,5.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.496
61102,2019,20190510,1.0,0.000,4,4,0,0,0,0,0,0,0.5,0,0.0,0.4806201550387597
61102,2019,20190512,1.0,0.250,4,4,1,1,0,0,0,0,0.5,1,0.25,0.47368421052631576
61102,2019,20190514,9.0,0.000,3,3,0,0,0,0,0,0,0.0,0,0.0,0.4632352941176471
61102,2019,20190515,9.0,0.000,5,5,0,0,0,0,0,0,0.0,0,0.0,0.44680851063829785
61102,2019,20190516,9.0,0.333,4,3,1,1,0,0,0,1,0.25,1,0.3333333333333333,0.4444444444444444
61102,2019,20190517,1.0,1.000,1,1,0,1,0,0,0,0,1.0,1,1.0,0.4482758620689655
61102,2019,20190518,1.0,0.333,3,3,0,1,0,0,0,1,0.6666666666666666,1,0.3333333333333333,0.44594594594594594
61102,2019,20190521,1.0,0.333,3,3,0,1,0,0,0,0,0.6666666666666666,1,0.3333333333333333,0.44370860927152317
61102,2019,20190522,1.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.432258064516129
61102,2019,20190523,1.0,0.500,4,4,0,2,0,0,0,0,0.25,2,0.5,0.4339622641509434
61102,2019,20190524,9.0,0.250,4,4,0,1,0,0,0,0,0.5,1,0.25,0.4294478527607362
61102,2019,20190525,9.0,0.000,4,3,0,0,0,0,0,0,0.5,0,0.0,0.42168674698795183
61102,2019,20190526,9.0,0.400,5,5,1,2,1,0,0,1,0.8,1,0.6,0.4269005847953216
61102,2019,20190529,5.0,0.333,4,3,0,1,1,0,0,0,0.5,0,0.6666666666666666,0.43103448275862066
61102,2019,20190531,1.0,1.000,3,3,1,3,1,0,0,0,0.6666666666666666,2,1.3333333333333333,0.4463276836158192
61102,2019,20190614,1.0,0.000,3,3,0,0,0,0,0,0,0.3333333333333333,0,0.0,0.4388888888888889
61102,2019,20190615,1.0,0.750,4,4,1,3,1,0,0,0,0.25,2,1.0,0.45108695652173914
61102,2019,20190618,8.0,0.000,3,2,0,0,0,0,0,0,0.0,0,0.0,0.44623655913978494
61102,2019,20190619,8.0,0.200,5,5,0,1,0,0,0,1,0.6,1,0.2,0.4397905759162304
61102,2019,20190620,8.0,0.333,4,3,1,1,0,0,1,2,0.75,0,1.3333333333333333,0.4536082474226804
61102,2019,20190621,1.0,0.250,4,4,0,1,1,0,0,0,0.25,0,0.5,0.45454545454545453
61102,2019,20190622,1.0,0.000,2,2,0,0,0,0,0,0,0.0,0,0.0,0.45
61102,2019,20190623,1.0,0.333,3,3,0,1,0,0,0,0,0.3333333333333333,1,0.3333333333333333,0.4482758620689655
61102,2019,20190625,1.0,0.500,4,4,0,2,1,0,0,1,0.25,1,0.75,0.45410628019323673
61102,2019,20190626,1.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.44549763033175355
61102,2019,20190627,1.0,0.500,4,2,0,1,0,0,0,1,0.75,1,0.5,0.4460093896713615
61102,2019,20190628,7.0,1.000,2,2,2,2,0,0,0,1,1.0,2,1.0,0.4511627906976744
61102,2019,20190630,7.0,0.000,3,3,0,0,0,0,0,0,0.3333333333333333,0,0.0,0.44495412844036697
61102,2019,20190702,1.0,0.250,4,4,0,1,0,0,0,0,0.25,1,0.25,0.44144144144144143
61102,2019,20190703,1.0,0.333,4,3,0,1,0,0,0,0,0.75,1,0.3333333333333333,0.44
61102,2019,20190704,1.0,0.250,4,4,1,1,0,0,0,1,0.5,1,0.25,0.4366812227074236
61102,2019,20190705,4.0,0.333,4,3,1,1,0,0,0,0,0.5,1,0.3333333333333333,0.4353448275862069
61102,2019,20190706,4.0,0.000,3,3,0,0,0,0,0,0,0.6666666666666666,0,0.0,0.4297872340425532
61102,2019,20190707,4.0,0.250,5,4,1,1,0,0,1,2,0.2,0,1.0,0.4393305439330544
61102,2019,20190709,1.0,1.000,3,3,1,3,0,0,1,1,0.3333333333333333,2,2.0,0.45867768595041325
61102,2019,20190711,1.0,0.250,4,4,1,1,0,0,1,2,0.5,0,1.0,0.46747967479674796
61102,2019,20190712,1.0,0.000,3,3,0,0,0,0,0,0,0.3333333333333333,0,0.0,0.46184738955823296
