HIT_VEL,HIT_ANG_VER
151.59,22.6
133.24,-1.3
88.37,3.6
141.78,55.1
117.02,11.0
94.94,31.1
166.29,-5.7
160.07,-3.7
132.72,10.5
148.5,21.4
157.95,33.5
152.19,11.0
148.73,-10.2
116.8,29.3
127.85,25.1
124.81,24.2
141.74,30.5
140.02,5.2
162.4,13.5
166.03,51.1
132.35,-18.3
111.85,39.8
144.37,32.6
156.56,20.9
150.31,8.3
142.62,18.1
140.65,15.6
128.87,53.1
128.32,1.8
162.56,-10.3
86.87,-46.0
158.05,2.1
150.73,-2.3
133.47,42.0
140.11,14.9
141.81,11.1
87.69,69.9
111.0,67.9
139.2,31.7
108.94,-19.0
141.24,47.0
151.81,-0.9
164.42,13.1
160.63,28.2
119.73,80.5
166.21,9.2
162.48,17.1
133.87,38.8
122.59,-5.7
131.33,43.1
115.57,-10.4
161.26,2.6
116.87,-5.2
114.54,51.4
160.56,18.3
134.8,-0.4
147.52,34.4
92.63,66.7
136.08,7.1
159.34,-8.7
138.9,-5.0
160.2,4.2
176.35,11.3
149.41,9.1
140.5,7.2
157.83,-12.8
139.57,-3.9
137.27,-3.8
136.45,26.6
154.62,29.0
89.51,24.9
121.71,-10.5
151.32,-16.1
119.45,29.5
119.18,28.9
117.34,8.3
105.47,-17.5
152.17,-7.3
152.1,23.2
136.19,16.2
131.33,-3.0
149.54,15.1
150.8,12.7
104.63,25.4
107.75,66.7
110.16,-26.9
153.28,0.9
160.41,4.5
135.37,35.9
100.76,75.5
146.1,-4.8
147.84,20.9
155.58,-13.1
140.25,34.7
135.21,9.7
147.32,17.7
111.02,-8.7
148.36,51.3
141.59,42.4
142.5,15.8
117.93,21.1
144.42,14.7
149.14,7.6
147.76,25.9
143.61,24.4
143.84,8.3
147.94,14.2
146.62,11.7
151.33,20.9
142.11,0.9
146.16,-4.6
163.08,-1.9
119.6,10.5
110.92,-9.3
141.88,1.0
149.52,1.0
144.56,29.3
161.01,7.3
124.45,35.9
153.7,32.0
159.11,4.4
78.96,-12.9
93.9,-3.7
152.25,-9.5
110.82,43.4
134.56,33.9
150.05,0.1
151.51,0.6
83.86,7.5
127.86,19.3
159.6,13.0
145.36,12.9
106.43,59.8
161.98,22.1
124.37,19.4
127.41,-9.5
151.56,8.7
132.12,-31.5
142.66,-8.3
127.04,24.4
156.91,20.6
137.53,53.8
119.29,52.4
147.34,-0.8
120.79,17.5
155.2,-5.8
138.81,10.5
140.81,79.1
98.94,23.7
159.48,-17.6
138.45,49.3
143.88,-8.4
157.27,17.8
152.07,14.9
138.76,-5.3
118.97,-1.2
91.29,83.1
138.42,-8.3
87.46,-32.5
129.84,18.3
153.05,10.5
96.19,36.0
141.88,-14.9
152.74,68.3
148.68,40.0
136.99,27.5
115.77,41.6
139.57,30.7
175.25,5.1
153.93,-13.1
100.76,84.4
136.25,2.3
122.67,40.8
152.13,29.6
95.32,60.9
102.03,68.8
140.67,32.3
125.97,-7.3
131.63,33.8
136.28,1.8
113.94,37.8
134.58,-6.7
128.23,10.9
160.4,2.6
133.33,25.5
121.14,7.5
124.58,26.0
127.24,0.0
113.77,68.8
140.44,27.3
108.48,30.1
130.51,-10.7
147.82,-5.0
130.77,-7.1
159.76,-12.5
155.54,-6.3
155.98,8.6
144.55,15.1
137.4,-12.5
163.84,36.9
131.09,22.9
142.18,17.1
141.63,19.5
137.98,27.1
162.48,12.3
155.54,21.0
134.22,-8.2
121.62,59.2
119.46,5.2
126.53,-6.5
145.84,16.3
40.63,-14.7
150.65,-4.8
132.77,18.3
126.12,12.6
150.52,15.6
161.61,24.4
126.02,22.7
134.19,-2.1
105.02,-4.3
123.63,35.5
135.69,14.0
136.92,45.3
118.39,-3.4
121.4,13.7
95.5,-11.6
134.9,6.5
69.65,-40.4
141.27,-23.5
96.28,70.9
168.05,7.8
135.3,60.3
125.15,36.7
139.89,-27.3
89.35,35.3
124.44,35.8
122.13,-8.4
141.54,1.6
161.1,21.0
150.83,4.4
142.38,18.8
131.3,10.4
154.18,17.7
164.8,-4.5
104.41,3.3
153.17,-3.5
96.67,25.9
90.16,-11.6
123.84,22.9
138.63,16.3
135.51,34.1
134.21,51.3
120.67,0.2
147.51,55.9
114.75,29.5
133.03,28.3
119.98,56.8
73.0,-8.5
134.39,47.9
165.19,-6.9
94.74,73.8
115.91,9.6
150.69,15.2
105.85,-17.4
132.64,-8.2
134.89,3.5
154.72,9.9
103.34,30.4
137.33,-2.4
133.79,54.7
114.35,23.6
156.56,18.6
136.1,19.2
130.73,29.7
158.59,35.3
131.17,27.7
149.16,-5.9
158.77,28.5
115.58,-7.7
157.48,-9.3
112.67,85.2
142.96,3.7
152.1,7.6
155.06,37.5
127.0,-9.3
142.1,68.3
146.28,22.6
151.87,48.7
110.87,5.9
136.28,-17.9
134.98,14.6
145.59,12.5
120.68,52.3
134.43,17.3
162.49,-1.0
149.0,7.6
120.6,78.3
90.28,-21.2
145.38,36.4
139.19,35.6
149.81,3.8
113.27,-10.9
153.3,0.2
129.61,60.4
153.49,14.6
102.84,-7.4
137.49,21.1
148.77,2.4
110.34,40.1
134.78,63.7
152.2,25.1
164.06,7.4
130.16,26.4
157.73,17.4
133.69,44.6
154.43,8.4
121.72,50.3
153.5,-8.1
112.54,14.0
140.85,56.8
138.96,16.2
154.04,13.8
145.05,-4.6
156.42,33.3
123.68,58.5
99.2,42.1
118.01,50.4
117.55,65.0
123.01,49.9
137.76,25.5
157.59,-4.3
156.85,25.7
136.85,43.3
132.44,-14.5
97.59,51.4
136.83,1.4
134.53,44.2
136.38,17.7
146.96,34.9
118.63,84.9
116.18,-1.1
130.15,-1.4
151.88,4.8
127.28,66.3
151.06,17.9
150.24,-9.7
124.01,69.7
142.73,11.4
129.6,-3.3
101.52,24.5
142.01,4.9
97.12,55.4
140.21,25.9
112.76,7.2
166.79,8.3
154.54,1.5
143.69,27.9
117.25,73.1
105.69,14.3
167.37,-6.3
155.17,-3.8
108.29,34.4
66.98,-14.2
122.65,8.5
120.58,-5.2
142.27,16.9
123.76,51.8
165.24,15.1
135.53,-2.2
145.92,67.8
149.08,43.6
159.3,-2.1
169.4,-4.7
118.7,-12.4
142.94,-21.5
130.41,-18.9
137.6,9.3
108.69,-13.8
157.69,-4.5
148.5,-4.2
130.63,71.4
154.03,-8.3
142.96,-13.9
147.56,27.6
142.47,-10.0
109.72,2.0
139.15,-3.2
146.11,21.8
106.52,4.4
136.03,49.3
103.31,-17.5
140.07,35.6
109.38,27.8
118.19,37.8
151.83,15.3
185.05,-6.0
127.77,47.3
146.51,12.8
150.43,13.2
128.58,1.8
120.69,17.8
124.7,53.5
130.61,26.2
152.66,35.3
122.29,16.1
137.78,32.5
100.66,-13.9
81.75,-14.2
137.52,20.9
146.81,10.6
117.22,29.4
130.74,26.6
149.13,3.8
130.95,-12.3
153.56,10.6
91.76,-17.9
149.41,6.0
109.92,46.2
92.77,46.9
108.59,20.7
113.27,-10.4
157.59,10.0
106.91,1.6
156.75,10.8
126.87,51.8
140.36,2.4
124.02,50.3
152.02,-5.8
118.52,16.7
105.13,52.3
150.09,29.5
88.99,18.7
123.8,40.4
132.81,3.2
125.57,-17.1
116.71,74.8
137.32,3.2
132.93,41.0
116.3,-3.5
133.35,27.5
137.25,-5.4
161.83,11.5
152.68,2.0
103.91,79.7
158.74,17.5
106.55,59.0
96.98,33.6
92.14,12.5
142.55,28.9
131.42,19.1
130.4,23.1
143.72,28.2
120.5,37.9
115.82,25.6
119.86,28.6
105.85,5.4
140.59,42.7
149.22,23.0
97.87,32.8
73.42,33.5
118.49,46.9
139.41,13.2
149.72,18.7
118.32,42.5
158.39,25.9
158.81,-3.6
65.98,59.9
151.92,27.2
156.19,2.7
145.83,43.9
145.02,0.5
105.61,55.4
141.32,25.4
128.46,64.8
129.63,79.7
123.23,1.9
136.32,22.1
124.16,6.4
140.12,0.3
132.92,14.0
155.45,34.1
142.87,57.6
116.84,-13.6
149.67,1.8
144.55,19.7
128.82,73.0
153.98,46.9
157.28,10.9
119.36,39.4
147.86,-1.5
144.03,18.4
124.22,37.2
161.62,0.1
136.77,0.6
106.4,-0.7
150.6,-2.9
94.63,12.9
163.21,16.3
123.93,40.8
111.52,42.3
138.18,39.6
127.29,71.1
157.59,1.2
131.51,7.6
136.01,43.4
150.7,-2.0
115.42,65.7
97.58,54.0
122.49,-15.9
135.08,49.7
122.86,41.7
122.89,6.9
132.38,41.8
92.58,53.0
125.93,32.2
155.13,-1.9
137.93,39.3
134.31,25.7
93.0,6.0
143.92,-0.3
104.28,-6.2
153.6,0.3
156.69,28.4
146.38,42.3
160.39,0.0
140.81,10.8
136.59,-10.9
158.53,18.9
146.7,-4.7
125.81,31.8
123.75,-3.6
99.75,3.4
158.88,16.7
122.66,59.1
138.55,35.5
45.13,-15.1
80.68,7.9
146.65,2.6
134.39,80.5
72.67,29.9
107.34,33.8
161.89,8.2
136.22,20.0
152.56,6.8
166.69,17.6
103.23,-12.2
160.09,30.7
123.98,36.7
138.36,32.1
149.87,-1.9
123.51,31.0
149.67,15.3
102.89,1.3
129.69,5.0
151.35,-5.2
157.51,28.0
73.77,56.5
121.71,-16.6
142.59,30.4
146.82,25.0
137.96,25.1
157.99,25.7
158.49,7.8
124.74,2.5
152.71,3.3
114.03,17.0
150.62,25.2
153.31,9.0
145.43,14.0
157.54,-3.2
121.73,-4.7
123.17,29.5
94.67,48.8
159.32,-7.0
165.88,22.1
153.58,-1.8
155.17,15.3
134.55,40.3
152.67,-7.6
107.31,-14.3
154.22,17.6
112.47,28.3
119.54,34.4
118.31,23.8
94.06,11.0
135.03,45.2
144.88,22.3
117.73,51.8
92.67,-9.1
25.56,9.2
132.1,-23.8
140.88,-4.6
151.02,7.5
142.18,13.8
113.57,7.6
140.01,-0.3
152.74,-10.6
139.44,19.7
111.76,-27.8
136.45,13.2
112.59,-10.0
152.45,18.2
133.29,18.4
107.83,22.6
163.49,8.2
130.16,28.1
147.53,34.0
151.75,-3.7
138.59,33.6
144.34,7.2
120.01,68.9
101.71,52.3
124.5,0.2
113.45,-8.9
151.8,13.1
166.15,19.0
103.96,63.3
152.95,-1.4
166.05,7.0
147.68,37.5
156.13,-0.3
116.83,-4.8
90.59,48.3
130.85,-4.8
126.13,32.7
150.23,5.8
152.11,5.4
130.72,-13.9
159.95,24.4
126.45,34.1
139.95,17.7
146.93,0.6
102.4,-11.9
155.4,17.3
110.84,24.3
75.61,-23.7
126.73,25.7
146.37,21.4
