PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
190712_202131,132.89,-5.8,5
180530_184957,139.82,31.4,14
190426_183326,144.33,29.3,14
210511_195552,104.47,-12.3,5
190602_200146,144.04,-8.8,5
180624_172055,135.96,35.3,17
210518_213724,138.83,-1.8,8
180610_172407,149.63,35.9,14
200915_185422,122.58,-19.7,5
210407_212944,148.66,22.7,14
200704_203416,154.6,45.6,14
201024_174640,96.35,-17.0,5
200703_202239,118.9,8.4,12
190811_193255,136.02,15.4,1
180915_180706,141.73,19.4,14
200520_194656,115.43,43.0,14
201003_190842,118.85,39.2,14
180814_200555,150.73,-6.5,5
180403_202118,129.61,26.8,14
210626_171004,154.91,-6.5,1
190416_194954,143.71,61.2,14
210519_153810,135.59,65.5,14
190413_173022,143.93,-1.2,5
210613_181229,108.47,-17.5,5
180805_195850,135.58,48.9,14
190927_194121,138.72,-9.5,5
180601_201421,116.17,79.7,14
201003_192916,100.92,29.3,1
200607_184739,163.73,7.2,4
180615_210723,129.7,45.2,5
180520_152836,165.44,27.6,15
210418_143536,128.78,13.2,1
210613_180430,157.71,25.0,15
180527_140803,90.7,-16.7,5
210617_201758,159.8,-11.6,5
190514_201431,116.97,64.3,14
190531_191155,149.57,4.0,4
180914_191004,114.03,6.1,1
180920_183225,148.93,11.8,1
180428_181743,141.32,0.8,2
180623_171716,154.97,24.7,15
200708_200012,135.0,-3.6,5
180401_141639,147.81,2.7,1
201009_182013,145.54,70.0,14
210506_194842,160.0,9.1,1
180503_194112,148.14,38.0,14
200821_195846,155.87,15.6,14
200513_204915,157.3,-1.8,1
200823_191443,106.68,48.6,14
180501_203519,134.38,1.6,1
210420_200545,160.66,-10.6,1
180704_184800,146.46,1.1,5
180517_193030,93.43,35.3,1
190929_154103,145.98,17.6,14
200814_192108,144.18,22.8,14
180627_191046,128.98,51.0,14
190611_201139,143.94,48.0,14
210511_193535,105.26,20.7,1
210516_153117,149.72,32.6,14
210509_141252,137.11,23.8,14
200613_183459,108.82,-3.2,5
190517_193700,150.77,19.5,14
180622_203130,149.97,13.4,12
180926_142911,129.08,14.9,1
181012_211955,150.29,28.3,14
200830_202031,118.59,78.1,14
210709_205905,136.71,-23.9,1
200910_211040,148.0,-19.3,5
180617_182908,150.63,9.6,1
180815_203755,145.83,35.0,15
180719_193704,92.84,60.1,14
180505_154300,169.87,5.3,1
190324_144403,146.21,-10.4,5
190522_203138,108.59,-3.0,10
190707_184025,144.36,-27.3,4
190924_195450,145.72,20.4,14
190410_184326,132.98,-11.0,1
190824_204807,141.95,-14.8,5
200510_161648,142.82,11.2,1
210704_173544,100.47,-17.4,5
180704_183659,136.45,25.1,1
180524_184838,171.35,4.7,1
180912_195935,118.43,-7.5,5
200715_190915,83.9,71.2,14
180418_202754,164.62,15.4,14
190620_185817,127.28,-20.0,5
190406_171440,116.99,10.3,12
201013_200021,154.98,-2.6,1
200924_203228,137.3,11.3,1
200517_151341,149.43,10.9,1
190606_145320,142.49,17.8,14
190528_193927,157.59,36.9,14
200617_211226,161.67,17.0,2
210610_183357,109.86,12.8,1
180608_185310,153.68,38.7,14
180421_181211,137.25,42.3,14
190521_185425,129.97,40.8,14
200711_203159,123.39,62.6,14
190622_194216,78.27,48.1,14
180726_210309,99.74,-29.7,5
210413_214733,120.73,69.8,14
200707_200917,163.33,15.3,2
180420_203814,118.72,43.9,14
180805_213327,167.32,-0.4,5
210418_142630,142.9,-10.8,5
190830_190531,132.7,2.8,1
180722_182912,133.0,52.6,14
180524_201326,142.44,23.8,14
180404_212650,142.4,41.5,14
180405_185016,91.43,-19.8,5
180406_200948,112.83,-18.7,5
181003_142941,157.49,-4.4,1
180811_201302,86.48,-12.4,5
210430_202137,112.46,5.3,5
180908_191244,147.77,-3.8,1
200918_195006,152.85,0.2,5
201029_184254,98.56,47.6,14
190417_215122,136.21,-1.6,5
180615_211354,149.65,21.0,2
180711_201601,157.71,15.9,2
200827_191943,131.42,12.3,1
200825_221353,144.62,4.9,1
200716_182938,152.22,-1.3,4
200904_191229,140.8,16.8,14
190412_215014,147.37,20.6,2
190928_192038,141.04,23.4,14
200612_190621,110.83,52.1,14
200812_202132,117.79,31.4,13
200930_143448,121.39,3.1,5
180807_194838,146.7,7.8,1
200813_194918,151.57,15.0,1
180513_151837,91.89,-16.8,5
190709_212223,111.33,69.8,13
180909_140412,134.61,23.1,14
180420_190219,108.56,52.3,14
201025_140129,108.75,52.9,14
200619_184432,132.53,20.1,14
200604_193436,151.04,-4.6,1
190714_180009,146.87,12.3,1
201018_164210,124.84,47.1,14
210512_201432,89.32,-15.2,5
190418_185316,151.8,18.2,2
200814_204549,145.36,10.7,1
201007_203639,97.6,66.2,14
190621_201635,134.98,14.6,1
180815_200042,121.91,2.9,5
180930_173149,137.11,38.9,14
180904_202458,104.74,27.2,1
210709_195333,154.2,-4.4,1
210512_185410,149.86,24.5,15
180703_190428,131.56,34.0,14
200517_143714,156.94,-8.3,5
190515_190132,142.54,9.3,1
190601_190833,96.93,25.7,1
210508_170340,119.03,11.6,1
190413_201043,165.82,-11.8,1
200528_203617,141.71,62.3,14
190402_190922,87.82,43.2,14
190420_173706,153.25,3.2,1
210506_183800,130.66,55.5,14
210406_183659,117.03,87.1,13
180518_200027,59.92,39.5,5
210420_203752,122.18,29.0,14
190622_182823,132.22,58.9,14
201028_205244,130.22,41.1,14
180505_141055,93.86,23.9,1
190526_152013,114.52,53.7,14
180805_191933,148.76,-14.8,5
200616_195242,145.32,0.1,1
200904_181344,116.46,89.0,13
190625_192856,152.81,12.5,1
200801_185623,143.89,39.9,14
180719_204354,127.57,23.3,14
180407_174655,173.21,-6.4,5
180629_212001,149.23,33.0,15
180922_183105,88.31,-20.5,5
201015_201844,98.87,63.5,13
180908_170014,95.75,-10.7,5
190410_212253,150.86,-3.7,5
180712_194349,153.82,26.4,2
190811_171054,103.19,-18.3,5
210604_190855,139.28,-3.3,8
201024_184123,143.56,3.3,2
210528_202235,148.16,19.8,14
180424_212032,126.44,20.5,14
180629_215841,149.98,17.7,2
200508_184003,152.57,16.2,14
190505_154232,111.39,70.1,14
180421_181904,117.62,-22.2,5
190804_201033,116.63,5.8,1
180626_183217,114.89,-20.2,10
190924_195800,146.0,43.1,14
200728_193023,130.09,8.1,1
190519_160629,118.08,2.1,8
180607_190423,153.31,9.0,1
180728_190459,156.09,32.4,14
200930_164308,149.25,4.2,1
180614_201319,144.28,31.6,15
180602_175516,156.01,6.6,2
190523_190456,96.39,8.6,12
210609_184809,146.64,23.0,2
180614_213202,151.27,18.8,2
180329_210305,139.14,-24.2,5
201010_194850,157.17,3.7,5
190913_145144,138.98,45.7,14
180807_185743,88.37,-18.0,5
210512_193813,140.11,3.2,8
210604_183628,142.43,29.2,14
180802_205331,148.63,5.4,1
181009_183659,147.03,22.1,14
210520_202214,104.35,72.0,14
190706_194928,143.86,2.0,1
190517_213919,119.49,10.1,12
180612_214020,120.32,44.3,14
200716_191826,166.33,-8.5,5
180630_202917,135.03,31.8,14
200721_211059,119.45,-9.9,5
201014_210727,143.55,-17.0,5
200530_193232,161.51,-5.0,5
180907_194600,144.92,34.4,14
210506_221153,134.64,-6.6,4
180612_191547,123.6,42.2,14
200509_183133,160.81,-3.3,1
190601_195202,147.96,-2.6,1
201011_150429,144.89,9.3,1
210508_193516,148.45,9.3,1
200805_212929,94.45,54.2,2
200925_195223,122.53,-9.0,5
200717_214239,147.85,39.5,2
200702_210849,126.69,78.8,13
190713_192547,147.31,-14.2,1
180420_210306,129.42,-18.7,5
190625_190938,112.39,-2.7,5
190918_192330,127.69,47.4,14
201009_173230,146.68,5.8,1
190412_201440,118.18,-16.1,5
190824_181110,166.61,18.9,2
190425_192607,129.54,-4.8,4
180331_193921,141.73,0.4,5
190630_193425,160.68,8.9,1
190505_164116,119.57,-8.2,5
200828_210820,144.18,13.9,2
200906_143257,116.91,41.0,14
190508_184651,147.3,-4.2,1
180603_190730,134.0,22.7,14
190915_144401,124.89,3.6,1
180916_162605,124.08,66.6,14
200929_223101,125.2,77.9,14
180728_214834,84.91,11.4,4
200801_183646,135.35,66.9,14
201011_162003,118.73,40.7,14
210704_183430,134.83,9.9,1
180717_192151,102.41,-9.6,5
200823_184506,146.97,15.1,1
190525_180205,144.27,0.8,1
201014_191601,144.49,18.2,14
190622_182306,157.0,9.3,1
180610_193639,141.55,20.2,2
180420_194251,125.47,54.8,14
210522_173753,113.94,48.0,14
200522_202945,151.53,-13.7,1
180510_185020,142.54,40.5,14
201004_152001,109.91,5.8,4
200506_204809,129.99,37.7,14
190808_195934,150.47,-0.2,4
180523_204740,130.33,55.1,14
180331_172137,153.78,-2.6,5
200823_172403,132.72,-10.7,5
200929_202508,132.46,13.1,1
201003_192321,113.48,74.6,13
200626_204136,138.12,39.2,14
210609_190216,143.02,-10.5,8
190517_202613,117.87,-1.0,1
190911_193136,150.23,27.8,14
190809_193907,106.61,83.9,13
210626_155515,124.5,-2.7,1
200815_182351,159.7,2.3,5
190526_170102,139.74,-8.7,1
180510_194648,125.51,-5.6,5
181006_190659,148.18,-5.1,1
180501_212723,157.18,11.6,1
210506_185050,161.87,-4.1,5
200731_184916,105.75,40.4,14
190505_163201,127.26,12.5,2
200630_183634,133.86,43.5,14
200924_202957,136.31,0.4,1
180726_201657,120.55,-4.6,5
180529_185820,162.99,15.6,3
201003_140954,98.33,30.1,1
190806_185801,151.76,-11.7,8
200815_175614,124.76,71.9,14
210414_211855,151.95,41.7,14
190928_171620,145.17,6.8,1
190908_140103,132.85,31.6,14
210505_143307,91.7,61.5,13
200911_210857,151.94,6.5,1
200915_183830,131.85,29.6,14
180424_191550,153.25,11.1,2
210620_180039,154.44,29.6,14
180922_175113,140.52,14.7,14
180329_203030,154.91,-2.8,5
180802_194944,128.04,19.2,2
201002_163308,145.52,9.1,2
180802_192839,79.87,-3.1,5
200913_170837,126.56,11.7,1
210417_184058,144.33,28.8,14
190804_172901,148.98,-10.8,4
180925_161802,129.19,-5.3,5
190424_190654,149.82,14.5,14
200613_153645,133.75,22.0,14
190516_193740,130.87,16.3,1
181007_145550,124.64,48.5,14
180329_202833,159.16,-4.2,8
200726_170212,150.63,2.1,5
180419_201656,132.33,19.0,1
180914_220941,143.83,24.1,2
200920_175937,144.15,41.8,14
180605_201212,110.28,6.0,5
201004_170057,136.47,21.1,14
180330_215448,117.87,-2.6,5
200715_192633,132.47,24.0,2
190718_185725,154.57,6.7,12
190412_192638,75.7,13.6,5
180427_213943,151.68,47.7,14
210506_212529,139.19,64.6,14
180524_193649,152.87,60.3,14
190420_175631,143.85,11.0,1
200726_170125,112.78,65.4,14
210501_184429,138.16,41.9,14
180801_203712,90.37,-14.6,8
180331_190637,121.39,-20.3,5
210511_192246,164.71,-12.7,5
190514_193342,141.25,46.2,14
180909_160818,119.21,76.1,11
190728_201618,123.86,10.8,1
190330_172312,128.54,37.2,14
180707_192153,164.15,-8.2,5
201030_185351,97.26,-0.2,5
190406_182952,83.25,38.5,14
180616_191110,143.81,13.6,1
190323_154055,135.55,-4.3,5
180810_210043,153.33,20.6,2
200606_183857,141.03,-19.7,1
180707_184737,132.17,40.6,14
190404_200759,121.35,66.6,14
210408_193157,141.98,15.8,14
190807_190913,137.7,22.7,2
190525_184218,149.12,59.3,14
180503_183501,130.42,10.1,1
201027_192140,124.16,-18.8,5
200920_155239,130.9,9.2,1
200913_190406,137.28,16.4,1
200507_184445,156.55,7.3,4
190815_184136,89.2,37.2,14
200603_193820,133.31,65.2,14
210701_183830,146.89,38.4,14
210623_183939,125.64,69.5,11
180807_204802,105.35,-4.6,5
200824_194503,122.38,27.7,1
200701_183341,140.15,9.5,1
190515_210316,116.86,81.5,13
210627_193228,149.87,19.6,2
190727_214600,142.96,32.8,14
210423_184409,163.38,5.7,1
190807_204357,131.11,33.7,14
200707_200817,155.22,24.5,15
180504_200618,160.78,12.2,2
210601_213418,118.75,38.2,14
180404_192513,126.12,40.1,14
180408_151140,146.43,4.7,1
201002_141323,140.83,42.9,13
200702_213702,130.05,52.1,14
200813_193330,167.24,3.4,1
200816_191403,106.19,1.2,5
201010_173754,150.17,-6.6,5
210613_191325,128.52,47.0,14
210616_180132,147.88,20.2,2
200731_191533,137.35,-2.2,5
210707_192007,134.25,53.2,14
201015_193705,118.7,51.4,14
200725_210521,138.62,34.1,14
180927_200114,110.45,-0.8,5
180925_171846,135.22,25.0,1
200519_194905,144.96,14.1,14
180620_202112,158.31,31.9,14
180608_183615,151.52,-0.7,1
210619_193203,116.92,34.8,14
190810_201143,155.66,22.3,15
180614_183655,137.95,7.8,1
190911_183210,131.79,0.7,5
210512_202449,157.74,-16.3,5
200927_155827,147.04,27.5,2
200709_210019,121.92,16.4,1
210508_193723,129.9,31.2,14
180927_183750,121.37,45.2,13
200507_185714,112.57,15.0,1
210530_141443,133.7,21.9,14
190428_152936,119.37,53.2,14
180526_195653,142.35,-2.2,5
180505_152954,160.88,-4.5,5
190916_211402,126.7,59.5,14
190419_202356,139.99,36.3,14
180510_184044,127.41,37.8,14
180628_204236,105.5,-17.8,1
190705_194646,120.32,-11.7,5
190330_190228,145.0,-2.4,1
200705_191530,117.01,14.1,1
210605_185222,139.53,-2.3,2
180519_200606,157.55,10.1,3
180729_183816,129.72,43.3,14
201002_162808,72.03,-9.0,5
200825_211213,61.41,28.7,14
190727_192652,73.48,51.4,14
190718_185957,142.15,6.9,12
180417_215110,148.08,33.0,14
200926_190618,112.0,53.5,14
210622_193918,151.37,18.8,2
210617_193047,95.92,-6.1,5
180408_140516,72.05,-14.6,5
210427_205921,102.77,13.9,12
201022_215220,126.36,36.3,17
190517_214927,142.28,-9.8,5
201017_144801,147.97,38.3,15
200818_202840,144.38,55.1,14
200505_162737,131.5,22.0,14
200710_200719,98.97,73.4,13
180731_212617,137.85,57.5,14
201029_204902,137.14,16.4,1
180525_202334,164.97,-5.4,5
200719_171137,116.1,40.4,1
200710_213925,130.51,25.7,14
200910_194350,134.63,64.6,14
190618_190840,148.63,-4.3,1
210406_192515,127.08,-17.1,5
200726_194013,127.27,25.8,14
200522_185240,149.98,32.4,14
201008_195705,140.59,39.5,14
180621_192412,86.58,82.2,13
201002_162532,126.17,38.7,14
200924_195910,84.86,10.1,5
190627_183155,130.59,-13.6,5
201013_212449,117.41,68.1,13
180602_185747,160.67,20.3,15
200620_175353,153.96,29.9,15
190726_195316,125.02,58.3,14
210410_151655,154.43,7.6,2
181013_170452,135.13,27.4,17
180328_185702,119.18,54.9,14
200829_204149,95.03,38.2,14
190419_202405,137.8,17.6,2
190817_200030,100.21,42.9,14
180922_202024,149.72,18.7,14
180615_192401,117.36,-6.4,1
190526_141841,84.22,13.8,5
201011_145810,92.48,35.7,14
180630_175201,134.07,13.7,1
200609_192750,125.56,41.2,14
180706_220113,150.88,-3.4,5
190801_211513,81.65,-0.9,5
180609_173905,112.97,-20.9,5
210506_193305,148.51,10.9,2
200918_185204,111.5,77.6,14
190430_211250,135.34,37.8,14
210502_160438,129.05,42.9,14
210624_200407,121.83,34.9,14
200915_210236,152.0,2.2,1
200821_183342,141.09,18.5,17
190727_184635,134.42,-2.1,1
190914_191755,121.22,-13.2,5
190503_205722,158.98,25.1,15
190328_201113,142.57,30.1,14
180610_180735,86.75,-13.4,5
200812_200346,145.43,22.0,2
201023_211506,136.56,19.1,14
190525_180325,152.83,-7.5,1
200919_195105,167.22,13.2,1
210619_200047,126.65,22.1,17
190804_193213,163.68,4.7,1
200811_204615,154.08,23.6,15
200701_193554,145.56,2.6,1
200917_191554,143.07,27.8,17
180523_205908,155.83,38.2,14
190914_191524,120.3,47.3,14
190404_211335,142.57,45.4,14
180606_190752,90.42,-26.2,1
190330_174644,123.77,49.4,14
180815_210939,139.61,14.1,1
190605_202144,148.37,-3.4,5
190630_172706,134.02,23.8,14
200717_201021,144.69,-4.3,5
200617_211112,121.37,39.3,14
200506_200148,151.84,21.2,15
190612_185340,83.1,38.8,14
200704_192801,149.42,5.6,1
201018_170035,106.26,44.0,14
180620_184857,140.57,21.9,1
200909_193155,107.33,34.7,14
200728_184019,145.43,35.7,14
180908_170920,140.78,15.6,1
190515_195254,151.82,-3.8,5
190515_184524,140.12,33.5,15
201008_190847,99.23,79.7,13
180724_210432,140.44,28.2,14
180915_195646,119.01,-0.7,1
200813_192655,115.93,52.8,14
210521_200032,166.95,14.2,2
190628_205028,114.25,-9.7,5
200919_194408,152.87,-1.9,1
201006_201222,122.98,76.0,14
210623_203440,119.33,19.9,1
180718_202320,96.35,37.5,1
180510_183503,142.5,11.1,1
200909_191751,142.68,3.1,1
180510_193058,150.59,-2.1,1
200717_183041,132.24,66.4,13
210630_212224,138.31,8.1,1
210620_182357,126.86,-3.6,1
180408_150246,156.7,-2.2,1
190609_190617,91.85,37.1,14
180920_205007,150.84,47.4,14
180629_185719,151.11,16.1,14
190627_183406,147.11,14.4,1
210417_145821,130.28,42.6,14
210530_141204,137.29,38.9,14
180729_191228,159.29,-9.1,5
200901_184209,152.63,14.9,2
180419_200951,141.02,-6.9,5
180930_152440,128.49,52.3,14
180615_185513,124.36,52.1,14
190511_173028,131.39,74.6,13
180527_155424,112.39,19.9,1
210610_213136,137.83,68.3,14
180810_212535,149.79,12.2,1
200829_202929,141.99,-18.2,5
190920_191335,136.27,-4.1,5
210508_172018,131.88,8.0,1
210509_151319,102.41,-17.7,5
190501_201449,95.34,-7.6,5
190813_200611,126.26,14.3,1
200628_190759,153.59,16.2,14
190814_191727,116.52,12.0,1
180621_193326,141.09,51.8,17
200828_191609,156.15,-7.3,5
190502_213541,18.11,-27.4,16
180511_190553,80.72,17.9,14
201008_200306,146.12,25.3,2
180701_200759,111.17,-3.1,5
180408_175449,116.51,27.2,17
180417_203246,115.8,62.3,14
210622_195717,149.41,42.4,14
190811_175002,144.13,-0.3,1
190622_184005,147.16,17.7,2
180413_200914,106.41,26.3,1
190512_145551,125.76,26.3,2
200614_175844,160.57,12.6,1
180705_193755,150.55,-5.2,1
201031_171133,142.14,35.9,14
180513_153041,114.17,32.3,14
210620_170030,142.2,-16.4,5
190901_143625,145.29,-15.7,5
180614_183650,120.85,31.2,14
190604_214511,108.69,25.8,1
190523_191412,127.09,7.1,1
200614_190956,156.25,20.8,2
190728_185616,130.34,25.6,14
190906_190241,99.55,76.1,13
180930_150020,146.03,36.8,14
180626_191523,139.28,57.6,14
210407_215732,96.24,69.0,13
190728_205229,124.41,-15.1,5
180413_193050,102.83,23.8,14
180601_204849,121.73,40.0,14
200630_183014,150.48,20.4,14
201002_154406,152.98,8.8,1
180810_200056,138.8,59.2,14
180726_192903,164.11,27.3,15
200904_161231,136.85,-1.3,8
180720_213846,157.0,6.8,12
180510_200620,146.9,22.5,2
200820_185023,159.33,-4.4,5
190818_185002,149.69,27.7,14
180616_174524,62.76,-32.7,5
190619_191650,136.61,25.1,14
210711_185546,100.24,14.2,1
210507_195422,128.6,72.7,14
190508_192806,155.59,15.8,12
190328_183532,140.33,34.3,14
190928_173448,149.48,15.3,2
210519_140100,123.34,32.8,14
180708_202457,152.77,33.1,15
210515_150221,135.25,62.5,14
180630_190539,154.64,16.2,14
180905_193227,98.66,29.1,1
180508_214248,121.48,82.9,13
180328_195625,155.3,4.5,1
190913_150654,151.86,27.7,14
190420_174414,147.78,4.5,5
210407_191106,93.31,65.9,13
200529_201201,141.3,30.0,14
190607_191054,140.67,8.1,1
200902_201910,95.09,9.6,1
200805_212908,103.73,44.0,14
200827_212051,144.52,5.9,1
210520_210253,128.81,-7.2,5
210710_182636,120.76,17.3,1
180408_153213,136.81,5.4,12
190607_210649,114.51,-21.6,4
180707_204447,136.19,46.9,14
210620_191809,145.4,-1.2,1
190505_162235,123.77,23.4,14
210421_183349,138.94,-0.1,1
200819_204752,123.48,21.8,14
210527_214144,149.97,16.4,14
190910_191108,93.94,12.1,1
200908_203412,126.69,33.3,17
200620_192507,139.19,19.6,17
180719_194222,155.28,-15.4,5
210430_185719,152.07,15.4,12
180624_175029,98.87,66.8,13
200628_190430,121.53,18.2,1
210519_144145,128.04,-11.3,8
190619_185159,137.36,38.4,14
180812_180044,143.32,24.3,2
200901_192254,146.58,48.8,14
190628_210825,130.62,49.5,14
190409_184942,163.12,-8.6,1
180422_154123,131.39,58.2,14
190505_155503,92.38,22.6,14
210626_175726,152.94,-2.7,5
190808_184039,103.1,50.5,14
200609_203257,122.51,17.2,1
180725_193316,106.82,-14.8,5
210521_194842,134.41,-4.0,8
200808_185814,159.36,7.1,1
180509_193222,133.89,53.9,14
180703_191030,147.54,8.6,1
190620_202644,162.71,28.0,15
190430_220050,139.16,-3.5,5
190814_210958,147.72,34.2,15
180522_142701,145.84,36.8,14
210425_142827,109.95,49.9,14
180605_184658,131.76,40.8,14
200829_205602,137.71,-2.8,5
180627_200639,168.58,4.0,1
200621_182100,160.05,15.3,14
180925_142127,142.02,19.0,14
190525_171708,140.66,11.3,1
200711_210444,124.88,5.9,8
210413_194340,145.97,-11.4,5
180808_200114,111.41,-17.6,5
180523_202710,128.74,1.5,5
200920_172454,150.6,44.6,14
200717_203952,138.98,3.4,1
200625_163039,145.15,5.3,1
190423_192930,132.48,16.5,1
190820_200429,119.43,15.6,1
180504_191817,92.08,-20.1,5
210610_185225,140.03,54.5,14
180505_153243,158.23,4.9,1
181004_214804,130.85,72.5,13
210624_184150,161.29,-14.6,5
200617_185123,150.74,15.0,1
190420_181707,114.73,31.8,14
190621_190730,138.86,16.5,14
180418_194754,152.04,39.0,14
180811_182540,158.64,28.8,15
201017_174354,145.44,15.0,2
190329_210130,133.82,19.8,14
180814_212829,145.45,25.0,17
190830_213359,142.46,-19.2,5
180420_202105,135.09,20.4,2
180918_212551,75.62,2.4,5
210424_171601,95.9,31.8,1
200517_171600,147.15,-3.8,1
180422_144632,152.39,9.2,2
210618_192143,127.72,36.3,14
180605_191027,135.19,10.9,1
190526_170003,139.04,-0.7,5
190728_194652,164.58,-3.4,5
200905_171154,139.17,-2.0,1
180925_172947,151.07,0.7,1
200821_185912,125.1,-3.8,1
190709_200625,125.48,43.3,14
201014_203301,131.93,34.3,14
180529_202125,160.1,36.9,15
201023_204915,113.46,20.6,1
190810_190455,148.98,-12.4,5
190730_205058,127.52,38.3,14
200930_142552,134.26,17.8,14
180523_190826,120.1,24.6,14
210424_151014,137.37,39.5,14
210424_180735,152.06,27.1,15
200519_200519,138.84,4.5,1
190330_175530,116.95,41.7,14
200812_212429,93.85,-22.4,5
180610_172743,119.2,25.3,14
201028_204949,161.55,18.3,2
210701_192326,122.25,-12.9,5
180704_202502,136.4,19.2,17
190924_211333,140.94,5.5,1
200621_174215,148.73,10.1,1
180623_195808,118.44,23.8,2
190615_193010,134.59,-1.3,1
201004_143150,132.68,-13.2,5
200704_210404,133.5,-8.5,5
210623_191137,137.04,57.4,14
190714_200639,141.18,18.6,14
180914_203333,71.19,-23.5,8
200613_175944,116.27,-25.1,5
210618_184309,142.54,22.8,14
190906_184800,115.1,25.2,1
210613_145302,137.59,20.2,14
200719_170549,134.73,72.5,13
210408_183703,142.86,-7.4,8
190508_213922,121.99,47.3,13
200731_205047,122.98,81.0,13
200510_145303,138.42,-1.5,1
200614_172718,127.97,63.4,14
210502_150943,138.32,29.9,14
210626_193743,140.78,63.8,14
190828_184133,147.5,29.4,2
181010_213053,158.8,14.9,1
180429_160958,129.11,19.9,2
190510_194518,117.57,-10.8,5
180809_191307,129.19,40.6,14
180426_192520,151.82,-2.8,1
180412_211210,116.95,8.9,4
200901_194805,149.25,-1.6,5
210701_195025,150.42,-2.9,1
180411_195523,157.44,17.3,2
180808_185451,115.79,11.2,12
200825_191750,129.65,18.0,1
190607_215823,148.05,3.5,12
180426_213606,150.93,24.3,14
190328_201229,143.03,10.7,1
200714_183836,137.17,67.6,14
190817_200455,137.33,28.4,14
180414_171921,122.53,66.6,14
200630_195516,146.11,8.1,1
200626_202005,120.4,40.1,14
180504_205731,150.58,-3.1,1
210509_202124,130.78,16.7,1
200625_164144,124.29,-16.0,8
210513_211357,167.93,10.3,2
190406_181709,129.46,-2.8,4
180522_150930,157.4,-1.4,5
190919_201219,135.27,-0.9,1
180630_193031,131.39,-8.0,8
201021_202021,127.88,14.7,1
200617_185737,155.26,6.5,1
180613_205309,155.54,-0.9,1
200625_154802,137.34,22.3,14
200821_214151,109.29,74.7,13
180425_205323,115.92,21.2,1
180628_203719,154.14,9.0,2
180529_205809,135.53,14.3,1
190621_192753,160.86,8.6,2
190829_194850,121.6,11.8,1
180801_185755,136.42,37.1,14
210605_173419,151.64,1.6,1
180815_203133,88.3,30.6,14
200519_213838,151.91,22.0,14
180609_191311,134.97,36.5,14
180330_203322,152.33,17.4,14
200822_182124,152.01,38.1,14
180501_203621,139.43,28.9,15
200807_220253,143.82,48.0,14
200826_193922,152.79,35.3,14
190505_155555,117.39,55.0,14
200812_203032,157.31,0.6,1
180915_183541,154.22,21.3,2
180814_193535,100.6,37.1,1
200704_192200,156.64,34.6,14
190818_195802,136.46,-6.3,5
200811_193333,122.67,11.0,5
190622_184720,116.29,7.2,4
190718_204034,122.27,79.9,13
190406_181926,135.46,-7.2,1
200711_201350,154.88,9.0,1
190623_201407,91.61,-14.3,5
210530_165352,132.58,30.6,14
190410_205107,89.15,64.2,14
200804_214327,137.0,20.8,14
180605_203444,137.08,5.9,1
190727_192254,134.65,30.5,14
200707_211613,129.1,5.1,5
210530_140555,83.47,56.0,14
180807_213602,151.31,20.1,14
180408_145436,154.12,2.0,2
180801_220140,127.19,14.5,1
200915_193754,146.67,18.8,14
200524_151540,159.77,22.4,2
200524_150142,109.1,23.5,14
200614_183808,98.74,64.2,13
180703_193714,155.08,6.8,12
210708_204937,120.93,16.1,2
201028_200734,139.46,-3.6,1
190530_201718,133.56,30.6,14
210430_183139,148.44,14.5,14
190526_153250,155.44,12.8,2
210529_175440,154.45,24.7,15
190608_171955,140.28,49.7,14
180726_214044,147.45,20.9,2
180503_190038,140.05,12.0,1
210522_180103,128.81,42.4,14
180525_203102,126.8,-5.5,5
210610_193316,163.65,21.5,2
180916_163045,120.51,-3.3,5
210620_194059,152.76,29.5,14
190601_182942,126.84,74.9,13
190911_183153,98.74,78.3,13
201001_153036,126.81,58.4,14
190731_203554,123.45,50.9,14
200620_192007,151.78,-7.2,5
210406_185251,100.28,-21.3,5
210422_213000,152.75,-5.8,5
210605_195314,128.41,32.4,2
200924_193601,128.77,-8.7,8
210701_195038,109.45,83.0,13
210521_221649,143.72,-2.3,1
180329_191729,149.68,0.1,1
190828_192721,120.46,17.8,1
190323_170036,155.39,3.6,12
180505_161527,136.27,9.0,1
190816_183302,108.02,36.6,14
180911_192130,149.42,6.5,1
201023_205605,155.55,6.2,1
210702_183912,145.07,21.6,14
210509_143617,138.92,26.8,14
200515_202705,118.74,10.8,5
200713_200226,135.33,-2.0,8
180620_210138,129.55,29.8,14
190915_161539,120.24,-3.4,1
180908_171420,162.44,19.1,2
180809_201522,102.8,-10.6,5
