DATE,OPPOSITE,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE
03.23,KIA,0.667,3,3,0,2,0,0,0,1,0,0,0,0,1,0,0.667,61102
03.24,KIA,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.286,61102
03.26,SK,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.273,61102
03.27,SK,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.333,61102
03.28,SK,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.313,61102
03.29,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.316,61102
03.30,롯데,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.286,61102
03.31,롯데,0.200,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0.269,61102
04.02,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0.233,61102
04.03,한화,0.250,5,4,0,1,0,0,0,0,0,0,0,1,2,0,0.235,61102
04.04,한화,0.333,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0.243,61102
04.05,KT,0.500,4,2,2,1,0,0,1,2,0,0,1,0,0,0,0.256,61102
04.06,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.256,61102
04.07,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.244,61102
04.10,삼성,0.250,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0.245,61102
04.11,삼성,0.750,4,4,2,3,1,0,1,2,0,0,0,0,0,0,0.283,61102
04.12,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.268,61102
04.13,두산,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0.267,61102
04.14,두산,0.000,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.262,61102
04.16,NC,0.000,5,3,0,0,0,0,0,1,0,0,0,1,1,0,0.250,61102
04.17,NC,0.250,6,4,1,1,0,0,0,0,0,0,2,0,0,0,0.250,61102
04.18,NC,0.000,4,4,1,0,0,0,0,1,0,0,0,0,2,0,0.236,61102
04.19,키움,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.247,61102
04.20,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.234,61102
04.21,키움,1.000,4,2,1,2,1,0,0,0,0,0,1,1,0,0,0.253,61102
