GYEAR,G_ID,PIT_ID,PCODE,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM,barrel
2020,20200505HHSK0,200505_141409,75847,148.29,24.0,14,132.51,3,1
2020,20200505HHSK0,200505_143329,74163,127.78,-13.3,5,143.64,3,0
2020,20200505HHSK0,200505_145112,75847,110.67,71.9,14,144.36,3,0
2020,20200505HHSK0,200505_150703,74163,135.65,-0.9,4,121.05,3,0
2020,20200505HHSK0,200505_160735,75847,112.06,53.8,14,132.0,3,0
2020,20200505LTKT0,200505_151649,77532,116.16,11.1,12,114.36,2,1
2020,20200505LTKT0,200505_153845,76313,127.78,73.8,14,143.23,2,0
2020,20200505LTKT0,200505_160122,77532,152.6,-3.7,1,150.12,2,0
2020,20200505LTKT0,200505_162617,76313,131.55,29.4,14,132.27,2,1
2020,20200505NCSS0,200505_152214,75566,114.25,47.2,14,128.24,8,1
2020,20200505NCSS0,200505_152924,76232,159.2,15.9,2,128.25,8,1
2020,20200505NCSS0,200505_153127,74465,143.4,-8.4,5,135.96,8,0
2020,20200505NCSS0,200505_155304,76849,135.73,52.9,14,130.1,8,1
2020,20200505NCSS0,200505_161316,76232,130.85,46.8,14,137.64,8,1
2020,20200505NCSS0,200505_161404,74465,146.39,33.6,15,132.92,8,1
2020,20200505NCSS0,200505_163203,76849,146.83,3.3,5,143.03,8,1
2020,20200505NCSS0,200505_164948,76232,142.08,45.0,13,140.61,8,1
2020,20200505NCSS0,200505_165059,74465,142.73,71.7,14,140.52,8,0
2020,20200505NCSS0,200505_165710,75566,137.37,-0.4,5,118.91,8,0
2020,20200505OBLG0,200505_141608,76290,132.74,34.6,14,154.24,1,1
2020,20200505OBLG0,200505_142001,74206,150.03,20.2,14,138.93,1,1
2020,20200505OBLG0,200505_145409,76290,145.48,27.7,15,153.76,1,1
2020,20200505OBLG0,200505_150314,78224,170.4,27.5,15,110.34,1,1
2020,20200505OBLG0,200505_150700,74206,146.71,7.1,12,122.65,1,1
2020,20200505OBLG0,200505_154305,76290,127.89,3.0,5,133.47,1,0
2020,20200505OBLG0,200505_161935,76290,166.06,21.9,2,140.62,1,1
2020,20200505OBLG0,200505_164201,75334,150.17,17.7,1,143.93,1,1
