AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.333,4,3,1,1,0,0,1,2,0,0,1,0,1,0,0.333,76232,2019,20190323
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.143,76232,2019,20190324
0.200,6,5,2,1,0,0,1,1,0,0,1,0,2,1,0.167,76232,2019,20190326
1.000,3,3,1,3,0,0,1,2,1,0,0,0,0,0,0.333,76232,2019,20190327
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0.316,76232,2019,20190328
1.000,3,2,0,2,1,0,0,2,0,0,1,0,0,0,0.381,76232,2019,20190330
0.500,4,2,1,1,0,0,1,1,0,0,2,0,0,0,0.391,76232,2019,20190331
0.250,5,4,1,1,1,0,0,0,0,0,0,1,1,1,0.370,76232,2019,20190402
0.250,4,4,1,1,1,0,0,0,0,0,0,0,3,0,0.355,76232,2019,20190403
0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.353,76232,2019,20190404
0.333,4,3,1,1,1,0,0,0,0,0,1,0,0,0,0.351,76232,2019,20190405
-,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.351,76232,2019,20190406
0.500,5,4,1,2,1,0,0,2,0,0,1,0,0,0,0.366,76232,2019,20190407
0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.364,76232,2019,20190410
0.500,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0.375,76232,2019,20190411
1.000,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0.400,76232,2019,20190413
0.333,4,3,2,1,0,0,1,1,0,0,0,1,0,0,0.396,76232,2019,20190414
0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,1,0.379,76232,2019,20190416
0.250,5,4,1,1,1,0,0,1,0,0,0,1,0,0,0.371,76232,2019,20190417
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.348,76232,2019,20190418
0.500,5,4,0,2,1,0,0,1,0,0,1,0,1,0,0.357,76232,2019,20190419
0.750,4,4,1,3,0,0,1,1,0,0,0,0,0,0,0.378,76232,2019,20190420
0.333,4,3,0,1,1,0,0,0,1,0,1,0,1,1,0.377,76232,2019,20190421
0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.370,76232,2019,20190423
0.000,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0.357,76232,2019,20190424
0.250,4,4,1,1,0,0,1,3,0,0,0,0,1,0,0.352,76232,2019,20190427
0.500,5,4,1,2,0,0,0,1,0,0,0,1,1,0,0.359,76232,2019,20190428
0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.358,76232,2019,20190430
0.333,6,3,0,1,0,0,0,0,0,0,2,1,1,0,0.357,76232,2019,20190501
0.500,6,4,0,2,0,0,0,0,0,1,2,0,1,0,0.363,76232,2019,20190502
0.500,4,2,1,1,0,0,1,2,0,0,2,0,0,0,0.365,76232,2019,20190503
0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.355,76232,2019,20190504
1.000,5,4,1,4,0,0,0,2,0,0,1,0,0,0,0.378,76232,2019,20190505
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,76232,2019,20190507
0.333,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0.374,76232,2019,20190508
0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.378,76232,2019,20190509
0.000,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0.366,76232,2019,20190510
0.000,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0.360,76232,2019,20190511
0.750,4,4,1,3,0,0,1,1,0,0,0,0,0,0,0.372,76232,2019,20190512
0.500,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0.376,76232,2019,20190514
0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.372,76232,2019,20190515
0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.371,76232,2019,20190516
0.500,4,4,2,2,1,0,0,1,0,0,0,0,0,0,0.375,76232,2019,20190517
0.750,5,4,1,3,1,0,0,1,0,0,1,0,0,0,0.385,76232,2019,20190518
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.383,76232,2019,20190524
-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.383,76232,2019,20190525
0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.377,76232,2019,20190526
